state;action_reward;n_state
588&5|523&5|2&4|216&5|521&5|31&4|483&5|273&4|300&4|226&3|578&4|56&4;473&3|1219&2|118&4|951&4;588&5|523&5|2&4|216&5|521&5|31&4|483&5|273&4|300&4|226&3|578&4|56&4|473&3|1219&2|118&4|951&4
1295&3|301&3|319&2|327&2|313&5|896&4|311&3|262&1|333&1|286&5|346&4|303&4;337&2|678&2|312&1|323&2;1295&3|301&3|319&2|327&2|313&5|896&4|311&3|262&1|333&1|286&5|346&4|303&4|337&2|678&2|312&1|323&2
318&5|689&4|38&4|301&2|226&5|684&4|382&4|373&3|761&5|496&4|428&5|33&3;1016&3|249&4|313&5|269&5;318&5|689&4|38&4|301&2|226&5|684&4|382&4|373&3|761&5|496&4|428&5|33&3|1016&3|249&4|313&5|269&5
64&4|114&4|214&3|24&3|202&3|23&4|724&4|70&4|487&3|684&4|7&5|288&4;208&4|436&4|150&4|173&5;64&4|114&4|214&3|24&3|202&3|23&4|724&4|70&4|487&3|684&4|7&5|288&4|208&4|436&4|150&4|173&5
107&1|181&2|245&4|471&4|294&4|472&3|591&5|327&3|125&4|975&4|323&3|756&4;284&4|151&2|282&5|240&3;107&1|181&2|245&4|471&4|294&4|472&3|591&5|327&3|125&4|975&4|323&3|756&4|284&4|151&2|282&5|240&3
127&3|323&2|216&2|22&2|568&4|181&1|56&5|50&1|64&5|265&4|357&5|294&2;79&5|187&2|182&5|258&5;127&3|323&2|216&2|22&2|568&4|181&1|56&5|50&1|64&5|265&4|357&5|294&2|79&5|187&2|182&5|258&5
1016&4|468&5|136&5|742&3|431&4|89&4|202&5|239&4|186&4|4&4|195&5|1&5;625&4|94&4|415&3|399&4;1016&4|468&5|136&5|742&3|431&4|89&4|202&5|239&4|186&4|4&4|195&5|1&5|625&4|94&4|415&3|399&4
191&5|100&4|64&5|98&4|322&4|483&3|174&4|357&5|178&5|183&4|50&4|527&4;319&3|1136&4|237&4|88&4;191&5|100&4|64&5|98&4|322&4|483&3|174&4|357&5|178&5|183&4|50&4|527&4|319&3|1136&4|237&4|88&4
282&3|616&4|567&4|175&4|171&5|300&2|686&3|431&3|116&5|239&3|199&4|181&4;331&4|50&4|826&3|898&3;282&3|616&4|567&4|175&4|171&5|300&2|686&3|431&3|116&5|239&3|199&4|181&4|331&4|50&4|826&3|898&3
326&5|411&4|409&4|252&3|255&5|742&5|1028&5|275&4|756&5|258&4|285&5|237&5;1023&4|1051&5|1277&5|931&2;326&5|411&4|409&4|252&3|255&5|742&5|1028&5|275&4|756&5|258&4|285&5|237&5|1023&4|1051&5|1277&5|931&2
1044&4|448&3|381&4|56&5|404&2|208&4|317&2|748&4|550&3|333&3|159&5|52&5;885&3|636&4|338&2|797&3;1044&4|448&3|381&4|56&5|404&2|208&4|317&2|748&4|550&3|333&3|159&5|52&5|885&3|636&4|338&2|797&3
7&3|327&1|346&4|258&2|301&3|922&4|111&5|873&3|1&3|690&4|273&3|282&3;117&4|151&4|628&3|109&1;7&3|327&1|346&4|258&2|301&3|922&4|111&5|873&3|1&3|690&4|273&3|282&3|117&4|151&4|628&3|109&1
681&1|264&1|289&1|988&1|258&4|332&3|336&1|294&3|680&1|292&1|288&3|286&5;678&1|328&1|358&1|923&5;681&1|264&1|289&1|988&1|258&4|332&3|336&1|294&3|680&1|292&1|288&3|286&5|678&1|328&1|358&1|923&5
313&4|286&4|328&4|271&4|303&5|258&4|751&5|322&2|690&3|300&2|912&3|288&5;245&4|1105&1|887&4|875&1;313&4|286&4|328&4|271&4|303&5|258&4|751&5|322&2|690&3|300&2|912&3|288&5|245&4|1105&1|887&4|875&1
651&5|542&1|317&5|427&5|194&5|12&5|99&5|197&5|474&5|806&5|48&5|11&4;480&5|654&5|181&4|168&5;651&5|542&1|317&5|427&5|194&5|12&5|99&5|197&5|474&5|806&5|48&5|11&4|480&5|654&5|181&4|168&5
123&4|412&1|235&3|25&4|1&3|871&3|276&4|240&5|472&4|1052&3|105&4|121&4;117&5|833&4|405&5|24&4;123&4|412&1|235&3|25&4|1&3|871&3|276&4|240&5|472&4|1052&3|105&4|121&4|117&5|833&4|405&5|24&4
57&4|158&2|661&5|218&3|447&4|527&4|156&5|185&5|529&2|186&3|143&1|825&4;664&2|39&4|575&1|772&4;57&4|158&2|661&5|218&3|447&4|527&4|156&5|185&5|529&2|186&3|143&1|825&4|664&2|39&4|575&1|772&4
654&3|186&3|89&5|318&3|520&3|197&4|474&5|855&3|646&4|98&4|176&5|482&4;171&4|527&3|180&3|522&5;654&3|186&3|89&5|318&3|520&3|197&4|474&5|855&3|646&4|98&4|176&5|482&4|171&4|527&3|180&3|522&5
735&3|174&4|317&4|117&3|234&3|69&5|58&4|82&4|642&3|88&2|710&3|22&5;963&4|204&3|100&4|483&5;735&3|174&4|317&4|117&3|234&3|69&5|58&4|82&4|642&3|88&2|710&3|22&5|963&4|204&3|100&4|483&5
202&3|993&3|692&4|603&4|484&4|430&4|125&3|82&5|64&4|602&4|519&4|502&3;63&2|231&2|1041&3|684&4;202&3|993&3|692&4|603&4|484&4|430&4|125&3|82&5|64&4|602&4|519&4|502&3|63&2|231&2|1041&3|684&4
311&3|761&5|111&3|335&3|117&4|369&5|333&3|538&4|181&4|1047&2|597&4|269&3;283&4|748&4|740&4|258&5;311&3|761&5|111&3|335&3|117&4|369&5|333&3|538&4|181&4|1047&2|597&4|269&3|283&4|748&4|740&4|258&5
455&5|800&2|117&5|235&2|181&5|54&4|214&4|619&3|195&4|100&5|706&3|631&5;1178&4|416&4|820&4|401&4;455&5|800&2|117&5|235&2|181&5|54&4|214&4|619&3|195&4|100&5|706&3|631&5|1178&4|416&4|820&4|401&4
32&4|529&2|547&3|678&3|665&4|241&4|482&3|399&4|275&4|200&5|216&4|598&3;585&4|642&3|641&5|567&1;32&4|529&2|547&3|678&3|665&4|241&4|482&3|399&4|275&4|200&5|216&4|598&3|585&4|642&3|641&5|567&1
367&4|871&2|321&5|476&3|254&3|678&2|255&5|118&4|167&4|70&4|220&4|401&4;153&4|210&4|181&4|862&1;367&4|871&2|321&5|476&3|254&3|678&2|255&5|118&4|167&4|70&4|220&4|401&4|153&4|210&4|181&4|862&1
794&4|111&5|275&5|739&4|722&5|778&4|294&4|88&5|1041&5|90&4|25&5|756&4;15&4|20&4|282&4|546&4;794&4|111&5|275&5|739&4|722&5|778&4|294&4|88&5|1041&5|90&4|25&5|756&4|15&4|20&4|282&4|546&4
25&2|652&4|274&2|507&4|216&3|735&2|474&3|90&3|198&4|211&3|482&4|1070&4;99&4|215&4|494&4|202&4;25&2|652&4|274&2|507&4|216&3|735&2|474&3|90&3|198&4|211&3|482&4|1070&4|99&4|215&4|494&4|202&4
124&4|100&4|591&4|322&3|326&3|333&3|245&3|294&3|237&3|301&4|328&3|751&3;7&4|717&1|1051&2|1011&3;124&4|100&4|591&4|322&3|326&3|333&3|245&3|294&3|237&3|301&4|328&3|751&3|7&4|717&1|1051&2|1011&3
326&5|259&2|879&4|294&4|315&3|269&3|748&5|302&2|751&5|323&4|313&5|286&3;508&3|1&5|15&5|892&2;326&5|259&2|879&4|294&4|315&3|269&3|748&5|302&2|751&5|323&4|313&5|286&3|508&3|1&5|15&5|892&2
749&2|258&4|264&4|333&4|321&2|905&3|328&1|331&3|890&1|288&4|313&5|342&1;681&2|312&2|881&2|878&2;749&2|258&4|264&4|333&4|321&2|905&3|328&1|331&3|890&1|288&4|313&5|342&1|681&2|312&2|881&2|878&2
258&3|328&2|302&5|269&5|749&4|874&5|324&4|340&5|288&3|268&5|306&4|313&4;1105&2|752&4|270&5|902&5;258&3|328&2|302&5|269&5|749&4|874&5|324&4|340&5|288&3|268&5|306&4|313&4|1105&2|752&4|270&5|902&5
282&4|243&2|25&4|304&4|1355&4|678&4|322&4|471&4|508&4|323&3|742&4|289&3;147&4|117&4|15&4|285&4;282&4|243&2|25&4|304&4|1355&4|678&4|322&4|471&4|508&4|323&3|742&4|289&3|147&4|117&4|15&4|285&4
300&3|269&4|345&3|294&4|272&2|270&4|258&4|306&3|301&3|307&2|339&3|302&5;352&5|937&5|288&5|748&5;300&3|269&4|345&3|294&4|272&2|270&4|258&4|306&3|301&3|307&2|339&3|302&5|352&5|937&5|288&5|748&5
993&4|472&3|7&3|181&4|25&4|50&5|121&4|278&3|109&5|473&3|24&3|823&4;1001&3|820&4|926&3|1061&2;993&4|472&3|7&3|181&4|25&4|50&5|121&4|278&3|109&5|473&3|24&3|823&4|1001&3|820&4|926&3|1061&2
117&5|568&3|1&5|378&5|223&5|153&5|427&5|70&4|504&3|432&4|211&5|209&1;161&5|141&4|739&5|451&4;117&5|568&3|1&5|378&5|223&5|153&5|427&5|70&4|504&3|432&4|211&5|209&1|161&5|141&4|739&5|451&4
169&4|206&3|95&4|1240&3|1110&4|101&2|751&3|189&4|91&3|272&3|358&3|539&2;926&2|111&4|235&3|410&1;169&4|206&3|95&4|1240&3|1110&4|101&2|751&3|189&4|91&3|272&3|358&3|539&2|926&2|111&4|235&3|410&1
25&4|66&2|756&2|845&3|238&4|328&4|508&3|300&4|287&3|476&3|208&4|523&3;763&3|1040&2|410&5|411&4;25&4|66&2|756&2|845&3|238&4|328&4|508&3|300&4|287&3|476&3|208&4|523&3|763&3|1040&2|410&5|411&4
1281&4|286&5|9&5|813&3|248&3|127&4|19&4|221&3|1&4|285&5|124&5|100&5;313&5|750&5|302&5|536&5;1281&4|286&5|9&5|813&3|248&3|127&4|19&4|221&3|1&4|285&5|124&5|100&5|313&5|750&5|302&5|536&5
476&4|125&1|121&3|151&1|14&4|866&2|275&4|118&3|222&4|815&4|15&5|283&4;412&2|934&3|235&4|820&3;476&4|125&1|121&3|151&1|14&4|866&2|275&4|118&3|222&4|815&4|15&5|283&4|412&2|934&3|235&4|820&3
293&3|392&4|121&1|778&3|510&4|87&2|410&1|742&4|468&3|118&2|659&4|137&1;298&2|66&3|88&3|220&5;293&3|392&4|121&1|778&3|510&4|87&2|410&1|742&4|468&3|118&2|659&4|137&1|298&2|66&3|88&3|220&5
303&3|304&4|272&3|340&4|269&5|301&4|328&4|1024&3|242&4|313&4|354&4|321&3;326&3|307&2|305&2|896&2;303&3|304&4|272&3|340&4|269&5|301&4|328&4|1024&3|242&4|313&4|354&4|321&3|326&3|307&2|305&2|896&2
8&5|50&5|202&4|56&1|494&3|663&2|568&5|132&5|79&5|435&4|97&5|485&5;22&5|88&5|419&5|181&5;8&5|50&5|202&4|56&1|494&3|663&2|568&5|132&5|79&5|435&4|97&5|485&5|22&5|88&5|419&5|181&5
464&5|724&4|715&5|28&4|86&5|57&2|736&4|197&5|11&1|519&4|553&3|582&5;1119&3|403&4|1267&4|570&3;464&5|724&4|715&5|28&4|86&5|57&2|736&4|197&5|11&1|519&4|553&3|582&5|1119&3|403&4|1267&4|570&3
288&3|881&2|289&3|888&4|326&3|258&5|879&2|328&2|327&4|269&4|242&4|304&3;1176&5|270&5|1175&5|889&5;288&3|881&2|289&3|888&4|326&3|258&5|879&2|328&2|327&4|269&4|242&4|304&3|1176&5|270&5|1175&5|889&5
121&4|597&2|1&4|1028&3|237&3|1011&3|1093&3|222&4|284&3|685&3|748&2|405&2;934&4|824&2|1312&2|831&1;121&4|597&2|1&4|1028&3|237&3|1011&3|1093&3|222&4|284&3|685&3|748&2|405&2|934&4|824&2|1312&2|831&1
260&4|340&4|245&3|22&4|153&4|64&5|483&5|528&5|521&5|934&4|294&4|301&3;405&3|121&1|255&2|118&3;260&4|340&4|245&3|22&4|153&4|64&5|483&5|528&5|521&5|934&4|294&4|301&3|405&3|121&1|255&2|118&3
127&4|242&4|285&4|224&4|250&2|302&4|458&2|117&3|847&3|301&3|1171&3|744&3;14&5|307&4|306&4|870&2;127&4|242&4|285&4|224&4|250&2|302&4|458&2|117&3|847&3|301&3|1171&3|744&3|14&5|307&4|306&4|870&2
1118&3|573&4|8&3|300&2|159&3|554&3|943&3|443&3|761&4|218&3|658&4|28&3;125&4|1035&3|559&4|568&3;1118&3|573&4|8&3|300&2|159&3|554&3|943&3|443&3|761&4|218&3|658&4|28&3|125&4|1035&3|559&4|568&3
121&5|118&5|421&5|172&5|38&5|27&5|406&4|288&5|568&4|234&5|427&4|588&5;676&5|197&5|133&5|15&5;121&5|118&5|421&5|172&5|38&5|27&5|406&4|288&5|568&4|234&5|427&4|588&5|676&5|197&5|133&5|15&5
475&4|275&4|323&2|462&4|198&5|463&5|268&4|70&4|1009&2|14&4|146&3|322&3;382&5|529&5|736&3|949&2;475&4|275&4|323&2|462&4|198&5|463&5|268&4|70&4|1009&2|14&4|146&3|322&3|382&5|529&5|736&3|949&2
895&5|292&3|323&5|243&3|289&2|321&3|286&5|300&5|304&5|690&5|307&4|892&4;748&3|901&4|988&4|678&5;895&5|292&3|323&5|243&3|289&2|321&3|286&5|300&5|304&5|690&5|307&4|892&4|748&3|901&4|988&4|678&5
258&4|100&1|181&4|24&3|331&5|288&3|742&2|9&3|325&1|628&4|294&4|333&1;118&3|148&4|410&4|756&4;258&4|100&1|181&4|24&3|331&5|288&3|742&2|9&3|325&1|628&4|294&4|333&1|118&3|148&4|410&4|756&4
180&5|200&4|1134&5|955&4|214&5|191&4|64&5|772&4|97&5|724&4|529&3|377&2;96&5|218&4|173&5|531&4;180&5|200&4|1134&5|955&4|214&5|191&4|64&5|772&4|97&5|724&4|529&3|377&2|96&5|218&4|173&5|531&4
736&5|185&5|302&4|435&4|1063&5|504&4|427&5|496&5|134&5|313&2|137&5|268&5;639&4|475&2|58&4|89&3;736&5|185&5|302&4|435&4|1063&5|504&4|427&5|496&5|134&5|313&2|137&5|268&5|639&4|475&2|58&4|89&3
274&4|117&4|244&5|236&5|120&4|288&3|271&3|326&4|13&5|100&5|269&5|748&4;357&4|480&4|89&4|195&4;274&4|117&4|244&5|236&5|120&4|288&3|271&3|326&4|13&5|100&5|269&5|748&4|357&4|480&4|89&4|195&4
168&4|33&4|175&3|1073&5|642&3|430&3|288&2|23&4|209&5|514&4|55&4|648&4;8&3|695&3|164&3|591&3;168&4|33&4|175&3|1073&5|642&3|430&3|288&2|23&4|209&5|514&4|55&4|648&4|8&3|695&3|164&3|591&3
294&4|321&3|313&5|258&2|748&4|289&3|876&3|301&4|328&4|286&3|315&3|245&4;298&4|50&4|295&3|127&4;294&4|321&3|313&5|258&2|748&4|289&3|876&3|301&4|328&4|286&3|315&3|245&4|298&4|50&4|295&3|127&4
1016&4|136&5|250&3|427&4|174&4|147&4|22&5|15&4|496&4|705&4|173&5|197&5;196&4|604&4|70&3|117&3;1016&4|136&5|250&3|427&4|174&4|147&4|22&5|15&4|496&4|705&4|173&5|197&5|196&4|604&4|70&3|117&3
508&5|285&4|412&3|3&3|926&2|475&5|462&4|763&4|276&5|250&4|123&4|109&2;61&4|1223&4|770&4|302&5;508&5|285&4|412&3|3&3|926&2|475&5|462&4|763&4|276&5|250&4|123&4|109&2|61&4|1223&4|770&4|302&5
340&5|300&5|288&4|307&5|324&1|305&4|333&4|347&5|313&3|355&3|271&4|245&4;260&3|322&4|323&4|748&2;340&5|300&5|288&4|307&5|324&1|305&4|333&4|347&5|313&3|355&3|271&4|245&4|260&3|322&4|323&4|748&2
849&4|410&2|121&3|685&4|147&3|815&3|455&4|117&4|24&4|109&3|742&4|477&2;21&1|363&3|405&2|473&1;849&4|410&2|121&3|685&4|147&3|815&3|455&4|117&4|24&4|109&3|742&4|477&2|21&1|363&3|405&2|473&1
457&1|135&5|58&5|340&2|7&5|14&3|751&3|182&5|322&1|95&4|480&5|474&5;1001&1|1298&3|268&4|23&5;457&1|135&5|58&5|340&2|7&5|14&3|751&3|182&5|322&1|95&4|480&5|474&5|1001&1|1298&3|268&4|23&5
282&4|810&2|432&2|95&4|1218&4|553&2|147&3|294&4|43&3|729&2|465&2|101&2;849&2|167&2|447&3|616&2;282&4|810&2|432&2|95&4|1218&4|553&2|147&3|294&4|43&3|729&2|465&2|101&2|849&2|167&2|447&3|616&2
427&3|143&5|294&1|135&5|23&4|22&4|487&3|321&4|134&4|197&5|242&5|132&3;704&3|432&5|13&3|9&5;427&3|143&5|294&1|135&5|23&4|22&4|487&3|321&4|134&4|197&5|242&5|132&3|704&3|432&5|13&3|9&5
258&3|604&5|89&4|479&5|1039&4|265&2|181&4|1&4|530&4|603&5|657&5|489&4;193&4|185&5|187&5|136&5;258&3|604&5|89&4|479&5|1039&4|265&2|181&4|1&4|530&4|603&5|657&5|489&4|193&4|185&5|187&5|136&5
435&4|86&5|258&4|56&5|4&3|160&4|876&3|147&5|174&5|132&5|22&5|238&5;39&2|87&5|416&4|127&5;435&4|86&5|258&4|56&5|4&3|160&4|876&3|147&5|174&5|132&5|22&5|238&5|39&2|87&5|416&4|127&5
340&3|302&5|303&5|744&5|294&2|301&4|181&3|269&4|15&3|321&2|879&4|311&5;222&4|298&4|408&4|9&5;340&3|302&5|303&5|744&5|294&2|301&4|181&3|269&4|15&3|321&2|879&4|311&5|222&4|298&4|408&4|9&5
744&4|294&3|293&3|742&4|257&2|936&4|274&5|873&1|596&2|323&1|245&3|322&3;926&2|535&2|1051&2|717&3;744&4|294&3|293&3|742&4|257&2|936&4|274&5|873&1|596&2|323&1|245&3|322&3|926&2|535&2|1051&2|717&3
873&2|269&5|268&4|328&2|748&4|322&1|15&4|7&4|340&3|276&3|273&2|248&3;535&2|121&4|181&2|257&5;873&2|269&5|268&4|328&2|748&4|322&1|15&4|7&4|340&3|276&3|273&2|248&3|535&2|121&4|181&2|257&5
872&5|313&5|333&4|292&5|299&2|948&3|682&4|271&5|260&4|880&5|343&3|300&4;1527&4|908&4|322&3|294&4;872&5|313&5|333&4|292&5|299&2|948&3|682&4|271&5|260&4|880&5|343&3|300&4|1527&4|908&4|322&3|294&4
258&4|628&5|174&5|64&5|96&4|100&5|151&4|15&5|257&4|7&3|284&2|228&3;546&4|748&2|924&3|121&4;258&4|628&5|174&5|64&5|96&4|100&5|151&4|15&5|257&4|7&3|284&2|228&3|546&4|748&2|924&3|121&4
288&5|358&4|1175&5|360&4|264&4|260&4|310&4|681&4|689&4|1233&4|307&4|682&4;300&4|872&4|242&4|336&4;288&5|358&4|1175&5|360&4|264&4|260&4|310&4|681&4|689&4|1233&4|307&4|682&4|300&4|872&4|242&4|336&4
161&3|58&3|671&3|747&5|436&5|77&4|472&5|1126&4|265&3|128&3|392&3|448&3;328&5|99&4|422&2|398&1;161&3|58&3|671&3|747&5|436&5|77&4|472&5|1126&4|265&3|128&3|392&3|448&3|328&5|99&4|422&2|398&1
2&3|202&3|73&4|566&3|1048&4|709&3|687&1|83&3|214&3|230&4|678&3|317&4;70&3|217&4|577&2|790&2;2&3|202&3|73&4|566&3|1048&4|709&3|687&1|83&3|214&3|230&4|678&3|317&4|70&3|217&4|577&2|790&2
71&5|977&3|331&3|934&3|568&4|294&3|406&1|55&4|1083&1|250&1|717&3|100&4;988&4|887&4|177&4|327&3;71&5|977&3|331&3|934&3|568&4|294&3|406&1|55&4|1083&1|250&1|717&3|100&4|988&4|887&4|177&4|327&3
956&4|648&4|515&5|237&5|293&4|724&4|48&5|663&5|792&4|1101&5|25&4|153&4;660&4|161&3|465&5|218&3;956&4|648&4|515&5|237&5|293&4|724&4|48&5|663&5|792&4|1101&5|25&4|153&4|660&4|161&3|465&5|218&3
896&5|305&4|1628&5|269&5|318&5|303&5|321&2|86&4|874&4|344&4|1007&4|463&5;937&1|1653&5|650&5|1255&1;896&5|305&4|1628&5|269&5|318&5|303&5|321&2|86&4|874&4|344&4|1007&4|463&5|937&1|1653&5|650&5|1255&1
1&4|418&3|404&2|946&2|99&2|82&5|768&3|932&5|596&1|878&4|465&5|172&4;420&1|102&5|501&3|94&5;1&4|418&3|404&2|946&2|99&2|82&5|768&3|932&5|596&1|878&4|465&5|172&4|420&1|102&5|501&3|94&5
1025&4|12&5|258&4|472&3|652&5|825&4|983&1|219&5|924&2|405&3|739&2|304&2;329&4|246&4|1040&1|752&4;1025&4|12&5|258&4|472&3|652&5|825&4|983&1|219&5|924&2|405&3|739&2|304&2|329&4|246&4|1040&1|752&4
28&3|731&3|1041&5|283&3|328&5|215&5|705&4|172&4|611&4|88&5|202&4|313&4;151&5|565&3|974&3|99&3;28&3|731&3|1041&5|283&3|328&5|215&5|705&4|172&4|611&4|88&5|202&4|313&4|151&5|565&3|974&3|99&3
327&3|323&3|294&5|245&4|690&3|286&4|322&4|332&3|303&4|358&2|748&4|302&3;538&4|307&3|754&3|988&2;327&3|323&3|294&5|245&4|690&3|286&4|322&4|332&3|303&4|358&2|748&4|302&3|538&4|307&3|754&3|988&2
408&5|204&5|357&5|193&4|191&5|222&5|23&5|205&2|228&5|83&1|186&3|655&5;1126&3|434&4|208&5|670&5;408&5|204&5|357&5|193&4|191&5|222&5|23&5|205&2|228&5|83&1|186&3|655&5|1126&3|434&4|208&5|670&5
269&4|24&4|127&5|276&5|1011&2|264&2|181&3|340&3|475&4|222&3|273&4|124&5;108&4|742&2|1059&4|288&4;269&4|24&4|127&5|276&5|1011&2|264&2|181&3|340&3|475&4|222&3|273&4|124&5|108&4|742&2|1059&4|288&4
559&5|51&4|151&4|161&4|815&4|215&5|588&4|186&4|655&3|260&2|356&4|428&4;716&5|403&3|111&1|1047&3;559&5|51&4|151&4|161&4|815&4|215&5|588&4|186&4|655&3|260&2|356&4|428&4|716&5|403&3|111&1|1047&3
121&5|346&5|185&4|447&3|56&5|7&5|892&4|164&4|50&5|222&4|758&4|5&5;769&4|590&4|665&2|860&4;121&5|346&5|185&4|447&3|56&5|7&5|892&4|164&4|50&5|222&4|758&4|5&5|769&4|590&4|665&2|860&4
483&4|127&2|15&2|195&5|42&5|215&2|89&5|91&3|96&3|498&5|238&5|181&3;31&3|228&3|636&2|133&2;483&4|127&2|15&2|195&5|42&5|215&2|89&5|91&3|96&3|498&5|238&5|181&3|31&3|228&3|636&2|133&2
989&3|1296&2|334&4|242&4|304&3|306&2|300&3|303&2|258&5|879&4|326&5|938&4;319&4|286&4|333&3|324&3;989&3|1296&2|334&4|242&4|304&3|306&2|300&3|303&2|258&5|879&4|326&5|938&4|319&4|286&4|333&3|324&3
