state;action_reward;n_state
311&3|268&4|308&2|269&5|333&1|325&2|262&1|305&4|1295&3|245&3|301&3|346&4;326&3|337&2|321&2|338&2;311&3|268&4|308&2|269&5|333&1|325&2|262&1|305&4|1295&3|245&3|301&3|346&4|326&3|337&2|321&2|338&2
169&5|47&4|751&4|461&4|92&4|750&5|373&3|64&5|338&5|22&4|66&4|233&4;151&4|186&5|369&3|1228&4;169&5|47&4|751&4|461&4|92&4|750&5|373&3|64&5|338&5|22&4|66&4|233&4|151&4|186&5|369&3|1228&4
24&3|96&5|288&4|939&4|154&3|92&3|28&4|202&3|651&4|634&5|357&4|684&4;431&4|206&2|135&4|173&5;24&3|96&5|288&4|939&4|154&3|92&3|28&4|202&3|651&4|634&5|357&4|684&4|431&4|206&2|135&4|173&5
181&2|676&2|300&5|409&3|245&4|294&4|257&4|323&3|477&3|125&4|471&4|472&3;293&4|7&2|118&4|410&4;181&2|676&2|300&5|409&3|245&4|294&4|257&4|323&3|477&3|125&4|471&4|472&3|293&4|7&2|118&4|410&4
357&5|323&2|181&1|174&1|325&2|265&4|22&2|678&2|322&3|568&4|56&5|172&1;258&5|182&5|187&2|510&3;357&5|323&2|181&1|174&1|325&2|265&4|22&2|678&2|322&3|568&4|56&5|172&1|258&5|182&5|187&2|510&3
195&5|117&4|732&5|88&4|71&2|50&5|222&5|82&4|51&4|566&4|692&5|258&5;98&4|197&4|560&4|665&4;195&5|117&4|732&5|88&4|71&2|50&5|222&5|82&4|51&4|566&4|692&5|258&5|98&4|197&4|560&4|665&4
443&4|527&4|607&5|815&4|322&4|50&4|156&4|357&5|328&4|183&4|535&4|220&5;237&4|319&3|333&3|1136&4;443&4|527&4|607&5|815&4|322&4|50&4|156&4|357&5|328&4|183&4|535&4|220&5|237&4|319&3|333&3|1136&4
689&1|386&3|11&3|1023&4|356&2|654&4|292&4|122&4|810&3|319&4|541&4|414&4;331&4|313&4|380&4|272&4;689&1|386&3|11&3|1023&4|356&2|654&4|292&4|122&4|810&3|319&4|541&4|414&4|331&4|313&4|380&4|272&4
742&5|285&5|15&5|298&5|680&2|118&5|220&5|255&5|993&4|274&5|275&4|890&2;818&3|1023&4|1277&5|934&3;742&5|285&5|15&5|298&5|680&2|118&5|220&5|255&5|993&4|274&5|275&4|890&2|818&3|1023&4|1277&5|934&3
501&3|465&2|845&3|380&3|42&3|39&3|202&4|136&4|29&3|792&4|200&5|25&5;541&4|665&3|834&5|1291&1;501&3|465&2|845&3|380&3|42&3|39&3|202&4|136&4|29&3|792&4|200&5|25&5|541&4|665&3|834&5|1291&1
508&4|7&3|346&4|9&4|269&5|111&5|455&1|340&4|922&4|300&2|690&4|873&3;117&4|151&4|1009&4|109&1;508&4|7&3|346&4|9&4|269&5|111&5|455&1|340&4|922&4|300&2|690&4|873&3|117&4|151&4|1009&4|109&1
333&1|680&1|948&1|286&5|748&2|330&3|258&4|292&1|332&3|288&3|294&3|327&4;678&1|272&5|923&5|243&1;333&1|680&1|948&1|286&5|748&2|330&3|258&4|292&1|332&3|288&3|294&3|327&4|678&1|272&5|923&5|243&1
269&3|751&5|322&2|328&4|303&5|258&4|912&3|286&4|346&4|271&4|316&4|302&5;245&4|312&2|887&4|1105&1;269&3|751&5|322&2|328&4|303&5|258&4|912&3|286&4|346&4|271&4|316&4|302&5|245&4|312&2|887&4|1105&1
178&5|12&5|518&5|99&5|127&5|182&5|318&5|194&5|603&5|435&5|806&5|514&5;527&3|168&5|1184&1|191&5;178&5|12&5|518&5|99&5|127&5|182&5|318&5|194&5|603&5|435&5|806&5|514&5|527&3|168&5|1184&1|191&5
240&5|122&3|273&4|743&4|25&4|1052&3|412&1|546&3|756&3|123&4|871&3|827&3;833&4|7&5|405&5|117&5;240&5|122&3|273&4|743&4|25&4|1052&3|412&1|546&3|756&3|123&4|871&3|827&3|833&4|7&5|405&5|117&5
1079&2|655&3|1118&3|204&5|561&3|451&2|504&4|185&5|208&2|190&5|569&3|52&5;660&3|215&3|945&3|368&2;1079&2|655&3|1118&3|204&5|561&3|451&2|504&4|185&5|208&2|190&5|569&3|52&5|660&3|215&3|945&3|368&2
172&5|646&4|679&2|655&3|615&2|56&3|157&2|186&3|318&3|659&4|183&5|176&5;522&5|210&3|195&4|153&3;172&5|646&4|679&2|655&3|615&2|56&3|157&2|186&3|318&3|659&4|183&5|176&5|522&5|210&3|195&4|153&3
234&3|97&5|173&3|4&3|31&3|164&3|196&4|183&4|385&3|956&3|423&4|153&4;121&3|162&3|483&5|143&3;234&3|97&5|173&3|4&3|31&3|164&3|196&4|183&4|385&3|956&3|423&4|153&4|121&3|162&3|483&5|143&3
399&4|211&4|194&5|154&2|504&3|173&4|178&5|430&4|181&4|235&2|70&4|185&5;712&2|239&3|153&4|737&2;399&4|211&4|194&5|154&2|504&3|173&4|178&5|430&4|181&4|235&2|70&4|185&5|712&2|239&3|153&4|737&2
1047&2|405&4|117&4|328&3|127&4|131&3|222&4|761&5|1016&1|333&3|335&3|181&4;740&4|283&4|275&5|300&5;1047&2|405&4|117&4|328&3|127&4|131&3|222&4|761&5|1016&1|333&3|335&3|181&4|740&4|283&4|275&5|300&5
367&4|592&3|82&4|396&4|164&4|226&5|77&4|1012&4|175&2|72&4|173&5|823&3;155&3|80&4|1090&2|940&3;367&4|592&3|82&4|396&4|164&4|226&5|77&4|1012&4|175&2|72&4|173&5|823&3|155&3|80&4|1090&2|940&3
318&5|135&5|226&5|399&4|393&4|432&4|644&5|307&5|550&4|379&4|584&4|504&5;386&4|561&4|570&3|565&4;318&5|135&5|226&5|399&4|393&4|432&4|644&5|307&5|550&4|379&4|584&4|504&5|386&4|561&4|570&3|565&4
566&4|118&4|678&2|70&4|367&4|254&3|255&5|692&5|294&3|167&4|412&2|257&5;210&4|153&4|781&4|181&4;566&4|118&4|678&2|70&4|367&4|254&3|255&5|692&5|294&3|167&4|412&2|257&5|210&4|153&4|781&4|181&4
756&4|451&5|781&4|25&5|255&5|724&4|36&4|722&5|280&4|794&4|49&5|815&5;846&4|289&5|66&5|282&4;756&4|451&5|781&4|25&5|255&5|724&4|36&4|722&5|280&4|794&4|49&5|815&5|846&4|289&5|66&5|282&4
226&3|405&2|271&3|264&2|718&4|651&4|410&2|258&1|180&4|709&4|652&4|129&4;305&5|403&3|202&4|1141&3;226&3|405&2|271&3|264&2|718&4|651&4|410&2|258&1|180&4|709&4|652&4|129&4|305&5|403&3|202&4|1141&3
879&3|591&4|322&3|116&3|873&3|129&4|301&4|333&3|300&4|751&3|273&3|100&4;137&3|871&2|1051&2|717&1;879&3|591&4|322&3|116&3|873&3|129&4|301&4|333&3|300&4|751&3|273&3|100&4|137&3|871&2|1051&2|717&1
315&3|301&2|678&4|302&2|259&2|339&2|316&4|294&4|258&4|748&5|751&5|323&4;1&5|338&4|892&2|508&3;315&3|301&2|678&4|302&2|259&2|339&2|316&4|294&4|258&4|748&5|751&5|323&4|1&5|338&4|892&2|508&3
1483&4|325&5|264&4|914&4|330&3|319&3|892&3|261&3|886&2|748&1|332&4|873&3;1625&4|878&2|1624&2|902&2;1483&4|325&5|264&4|914&4|330&3|319&3|892&3|261&3|886&2|748&1|332&4|873&3|1625&4|878&2|1624&2|902&2
302&5|315&3|328&2|268&5|1395&4|313&4|340&5|303&5|754&1|362&3|272&4|324&4;349&3|1105&2|886&4|270&5;302&5|315&3|328&2|268&5|1395&4|313&4|340&5|303&5|754&1|362&3|272&4|324&4|349&3|1105&2|886&4|270&5
323&3|471&4|237&4|546&2|742&4|508&4|286&3|304&4|243&2|1355&4|678&4|748&3;147&4|285&4|15&4|100&5;323&3|471&4|237&4|546&2|742&4|508&4|286&3|304&4|243&2|1355&4|678&4|748&3|147&4|285&4|15&4|100&5
307&2|300&3|272&2|270&4|339&3|319&4|294&4|258&4|269&4|306&3|333&4|301&3;937&5|352&5|347&4|288&5;307&2|300&3|272&2|270&4|339&3|319&4|294&4|258&4|269&4|306&3|333&4|301&3|937&5|352&5|347&4|288&5
15&4|1060&3|276&5|181&4|13&5|473&3|952&4|109&5|1059&2|762&4|596&3|237&4;1001&3|411&3|476&3|826&3;15&4|1060&3|276&5|181&4|13&5|473&3|952&4|109&5|1059&2|762&4|596&3|237&4|1001&3|411&3|476&3|826&3
588&5|70&4|203&2|71&5|228&2|69&4|304&5|95&5|951&5|393&3|1&5|239&4;141&4|739&5|621&2|405&4;588&5|70&4|203&2|71&5|228&2|69&4|304&5|95&5|951&5|393&3|1&5|239&4|141&4|739&5|621&2|405&4
1110&4|189&4|539&2|206&3|358&3|1240&3|1091&1|169&4|333&4|101&2|408&5|902&4;25&3|235&3|926&2|111&4;1110&4|189&4|539&2|206&3|358&3|1240&3|1091&1|169&4|333&4|101&2|408&5|902&4|25&3|235&3|926&2|111&4
692&3|328&4|100&4|1028&3|476&3|523&3|508&3|249&3|1&4|257&4|756&2|168&2;1040&2|1023&2|410&5|412&4;692&3|328&4|100&4|1028&3|476&3|523&3|508&3|249&3|1&4|257&4|756&2|168&2|1040&2|1023&2|410&5|412&4
1281&4|845&4|137&1|293&3|275&2|100&5|286&5|285&5|1&4|14&5|19&4|127&4;302&5|313&5|536&5|269&5;1281&4|845&4|137&1|293&3|275&2|100&5|286&5|285&5|1&4|14&5|19&4|127&4|302&5|313&5|536&5|269&5
121&3|477&5|222&4|118&3|151&1|276&2|275&4|125&1|15&5|14&4|1&5|866&2;235&4|820&3|412&2|934&3;121&3|477&5|222&4|118&3|151&1|276&2|275&4|125&1|15&5|14&4|1&5|866&2|235&4|820&3|412&2|934&3
427&4|87&2|216&4|50&2|382&2|673&3|162&4|778&3|890&1|240&1|660&5|64&5;274&3|582&3|220&5|298&2;427&4|87&2|216&4|50&2|382&2|673&3|162&4|778&3|890&1|240&1|660&5|64&5|274&3|582&3|220&5|298&2
340&4|258&4|1024&3|302&5|311&4|272&3|242&4|301&4|286&4|887&3|321&3|328&4;344&2|307&2|326&3|896&2;340&4|258&4|1024&3|302&5|311&4|272&3|242&4|301&4|286&4|887&3|321&3|328&4|344&2|307&2|326&3|896&2
566&5|584&4|202&4|969&5|97&5|494&3|659&4|705&5|485&5|294&5|568&5|79&5;419&5|88&5|228&5|22&5;566&5|584&4|202&4|969&5|97&5|494&3|659&4|705&5|485&5|294&5|568&5|79&5|419&5|88&5|228&5|22&5
1113&5|1045&4|511&5|180&5|582&5|469&5|464&5|11&1|1268&2|135&4|28&4|83&5;1267&4|403&4|1119&3|378&4;1113&5|1045&4|511&5|180&5|582&5|469&5|464&5|11&1|1268&2|135&4|28&4|83&5|1267&4|403&4|1119&3|378&4
242&4|888&4|338&1|304&3|259&4|881&2|269&4|288&3|326&3|872&3|300&3|286&3;270&5|889&5|1176&5|683&5;242&4|888&4|338&1|304&3|259&4|881&2|269&4|288&3|326&3|872&3|300&3|286&3|270&5|889&5|1176&5|683&5
121&4|748&2|222&4|1011&3|405&2|546&4|269&5|685&3|258&3|411&3|15&3|597&2;831&1|1322&2|120&1|934&4;121&4|748&2|222&4|1011&3|405&2|546&4|269&5|685&3|258&3|411&3|15&3|597&2|831&1|1322&2|120&1|934&4
601&5|475&3|523&5|357&5|153&4|873&3|127&5|508&5|180&4|582&4|191&5|275&4;408&5|223&5|1226&4|827&3;601&5|475&3|523&5|357&5|153&4|873&3|127&5|508&5|180&4|582&4|191&5|275&4|408&5|223&5|1226&4|827&3
273&4|591&2|321&3|304&2|1&2|1171&3|275&3|532&3|151&3|257&2|224&4|1011&4;14&5|19&5|515&5|307&4;273&4|591&2|321&3|304&2|1&2|1171&3|275&3|532&3|151&3|257&2|224&4|1011&4|14&5|19&5|515&5|307&4
233&2|683&2|1039&4|294&3|257&2|628&4|79&4|833&1|724&4|290&1|38&3|692&3;765&4|385&3|699&3|627&4;233&2|683&2|1039&4|294&3|257&2|628&4|79&4|833&1|724&4|290&1|38&3|692&3|765&4|385&3|699&3|627&4
172&5|406&4|421&5|234&5|928&5|143&5|118&5|27&5|625&5|588&5|568&4|38&5;133&5|676&5|197&5|15&5;172&5|406&4|421&5|234&5|928&5|143&5|118&5|27&5|625&5|588&5|568&4|38&5|133&5|676&5|197&5|15&5
116&4|179&5|100&5|14&4|9&5|1009&2|166&3|475&4|462&4|213&4|212&4|638&4;1018&2|510&5|582&5|949&2;116&4|179&5|100&5|14&4|9&5|1009&2|166&3|475&4|462&4|213&4|212&4|638&4|1018&2|510&5|582&5|949&2
321&3|294&4|895&5|892&4|300&5|243&3|304&5|323&5|289&2|301&5|307&4|258&5;678&5|315&4|748&3|988&4;321&3|294&4|895&5|892&4|300&5|243&3|304&5|323&5|289&2|301&5|307&4|258&5|678&5|315&4|748&3|988&4
323&4|331&5|50&5|25&4|258&4|117&4|245&3|687&1|682&2|9&3|1&4|288&3;7&3|148&4|410&4|237&4;323&4|331&5|50&5|25&4|258&4|117&4|245&3|687&1|682&2|9&3|1&4|288&3|7&3|148&4|410&4|237&4
248&4|647&5|118&3|144&5|275&4|24&3|51&3|1014&3|23&4|98&5|95&4|143&5;178&5|531&4|218&4|160&3;248&4|647&5|118&3|144&5|275&4|24&3|51&3|1014&3|23&4|98&5|95&4|143&5|178&5|531&4|218&4|160&3
1005&3|657&5|193&4|188&5|100&4|513&5|166&4|496&5|654&5|9&5|272&3|182&5;58&4|200&5|205&4|425&4;1005&3|657&5|193&4|188&5|100&4|513&5|166&4|496&5|654&5|9&5|272&3|182&5|58&4|200&5|205&4|425&4
150&4|168&4|405&4|252&5|21&4|1013&4|50&5|319&5|25&4|249&4|100&5|318&4;47&2|129&4|195&4|505&4;150&4|168&4|405&4|252&5|21&4|1013&4|50&5|319&5|25&4|249&4|100&5|318&4|47&2|129&4|195&4|505&4
642&3|186&3|42&4|194&3|516&5|208&3|175&3|33&4|183&5|209&5|100&4|154&4;164&3|504&3|789&3|56&3;642&3|186&3|42&4|194&3|516&5|208&3|175&3|33&4|183&5|209&5|100&4|154&4|164&3|504&3|789&3|56&3
315&3|269&4|301&4|243&2|288&3|258&2|321&3|346&3|294&4|748&4|682&3|876&3;127&4|257&4|295&3|249&2;315&3|269&4|301&4|243&2|288&3|258&2|321&3|346&3|294&4|748&4|682&3|876&3|127&4|257&4|295&3|249&2
174&4|77&4|402&4|748&4|72&4|427&4|255&4|328&3|631&4|222&4|294&3|22&5;117&3|1063&3|203&3|196&4;174&4|77&4|402&4|748&4|72&4|427&4|255&4|328&3|631&4|222&4|294&3|22&5|117&3|1063&3|203&3|196&4
832&1|195&4|763&4|9&3|1012&5|135&4|461&5|497&4|285&4|628&3|952&4|288&5;564&3|211&4|161&3|955&4;832&1|195&4|763&4|9&3|1012&5|135&4|461&5|497&4|285&4|628&3|952&4|288&5|564&3|211&4|161&3|955&4
902&5|288&4|245&4|340&5|333&4|307&5|324&1|313&3|258&1|300&5|328&3|271&4;678&3|322&4|323&4|260&3;902&5|288&4|245&4|340&5|333&4|307&5|324&1|313&3|258&1|300&5|328&3|271&4|678&3|322&4|323&4|260&3
7&4|742&4|1016&5|1&3|24&4|849&4|410&2|282&3|455&4|685&4|121&3|147&3;926&3|363&3|254&1|405&2;7&4|742&4|1016&5|1&3|24&4|849&4|410&2|282&3|455&4|685&4|121&3|147&3|926&3|363&3|254&1|405&2
457&1|7&5|498&4|591&4|183&4|483&5|289&3|194&3|988&1|588&4|338&4|243&1;156&5|195&3|302&5|345&4;457&1|7&5|498&4|591&4|183&4|483&5|289&3|194&3|988&1|588&4|338&4|243&1|156&5|195&3|302&5|345&4
168&5|11&3|392&4|879&4|206&3|199&4|211&4|89&5|249&2|50&4|455&3|148&2;53&1|1034&2|39&2|1215&2;168&5|11&3|392&4|879&4|206&3|199&4|211&4|89&5|249&2|50&4|455&3|148&2|53&1|1034&2|39&2|1215&2
511&5|23&4|480&3|64&3|242&5|132&3|294&1|321&4|135&5|606&3|143&5|523&3;276&4|185&4|9&5|255&1;511&5|23&4|480&3|64&3|242&5|132&3|294&1|321&4|135&5|606&3|143&5|523&3|276&4|185&4|9&5|255&1
181&4|435&5|172&5|657&5|210&4|479&5|489&4|265&2|127&5|133&5|604&5|89&4;176&4|185&5|228&4|136&5;181&4|435&5|172&5|657&5|210&4|479&5|489&4|265&2|127&5|133&5|604&5|89&4|176&4|185&5|228&4|136&5
241&5|172&5|292&4|322&3|277&5|194&5|340&2|100&5|117&5|196&4|301&3|64&5;199&5|210&5|381&4|111&5;241&5|172&5|292&4|322&3|277&5|194&5|340&2|100&5|117&5|196&4|301&3|64&5|199&5|210&5|381&4|111&5
303&5|268&4|269&4|289&3|308&2|292&3|748&4|297&5|311&5|301&4|326&3|181&3;222&4|408&4|273&3|298&4;303&5|268&4|269&4|289&3|308&2|292&3|748&4|297&5|311&5|301&4|326&3|181&3|222&4|408&4|273&3|298&4
1060&2|237&2|7&1|847&3|815&2|411&1|286&5|121&4|150&1|1033&3|293&3|282&3;1028&3|1011&1|546&1|866&3;1060&2|237&2|7&1|847&3|815&2|411&1|286&5|121&4|150&1|1033&3|293&3|282&3|1028&3|1011&1|546&1|866&3
117&3|1&4|7&4|246&4|410&1|298&4|276&3|269&5|237&3|332&3|151&4|340&3;121&4|257&5|125&4|535&2;117&3|1&4|7&4|246&4|410&1|298&4|276&3|269&5|237&3|332&3|151&4|340&3|121&4|257&5|125&4|535&2
355&2|260&4|300&4|948&3|340&4|288&4|299&2|895&4|872&5|358&1|880&5|682&4;322&3|678&2|294&4|1527&4;355&2|260&4|300&4|948&3|340&4|288&4|299&2|895&4|872&5|358&1|880&5|682&4|322&3|678&2|294&4|1527&4
258&4|151&4|24&3|174&5|7&3|15&5|568&4|96&4|50&4|250&2|845&3|628&5;546&4|281&4|1087&4|121&4;258&4|151&4|24&3|174&5|7&3|15&5|568&4|96&4|50&4|250&2|845&3|628&5|546&4|281&4|1087&4|121&4
306&4|689&4|882&4|358&4|1233&4|286&5|288&5|1429&4|324&4|681&4|307&4|264&4;872&4|271&3|319&5|242&4;306&4|689&4|882&4|358&4|1233&4|286&5|288&5|1429&4|324&4|681&4|307&4|264&4|872&4|271&3|319&5|242&4
257&5|1&5|210&5|71&5|1091&3|135&3|7&5|101&1|1228&3|228&4|683&4|665&2;99&4|675&2|855&3|395&3;257&5|1&5|210&5|71&5|1091&3|135&3|7&5|101&1|1228&3|228&4|683&4|665&2|99&4|675&2|855&3|395&3
776&3|233&3|762&5|181&4|284&4|50&4|4&3|367&4|1077&3|472&2|709&3|411&3;940&3|577&2|572&3|771&4;776&3|233&3|762&5|181&4|284&4|50&4|4&3|367&4|1077&3|472&2|709&3|411&3|940&3|577&2|572&3|771&4
258&1|1277&4|331&3|1385&2|385&4|1213&3|717&3|295&2|689&4|1336&3|77&5|588&4;327&3|302&3|332&4|829&4;258&1|1277&4|331&3|1385&2|385&4|1213&3|717&3|295&2|689&4|1336&3|77&5|588&4|327&3|302&3|332&4|829&4
181&4|662&3|566&3|836&4|22&5|430&5|473&4|127&5|494&5|235&2|86&5|1124&3;568&4|218&3|445&3|549&4;181&4|662&3|566&3|836&4|22&5|430&5|473&4|127&5|494&5|235&2|86&5|1124&3|568&4|218&3|445&3|549&4
311&3|269&5|86&4|312&2|244&3|344&4|305&4|900&4|321&2|891&2|750&4|318&5;1101&4|1653&5|937&1|650&5;311&3|269&5|86&4|312&2|244&3|344&4|305&4|900&4|321&2|891&2|750&4|318&5|1101&4|1653&5|937&1|650&5
596&1|477&5|932&5|50&3|393&5|82&5|140&5|8&5|1&4|627&1|172&4|1219&4;969&2|71&3|420&1|151&2;596&1|477&5|932&5|50&3|393&5|82&5|140&5|8&5|1&4|627&1|172&4|1219&4|969&2|71&3|420&1|151&2
51&3|974&1|339&3|257&5|443&3|1212&2|636&4|879&5|250&5|1273&5|756&2|569&4;236&1|896&2|135&5|62&2;51&3|974&1|339&3|257&5|443&3|1212&2|636&4|879&5|250&5|1273&5|756&2|569&4|236&1|896&2|135&5|62&2
4&5|307&4|273&2|775&2|794&4|294&3|9&3|849&4|1037&2|229&3|391&4|483&5;91&2|542&3|795&3|281&4;4&5|307&4|273&2|775&2|794&4|294&3|9&3|849&4|1037&2|229&3|391&4|483&5|91&2|542&3|795&3|281&4
332&3|748&4|303&4|269&3|302&3|327&3|286&4|323&3|690&3|294&5|358&2|879&3;988&2|689&3|538&4|307&3;332&3|748&4|303&4|269&3|302&3|327&3|286&4|323&3|690&3|294&5|358&2|879&3|988&2|689&3|538&4|307&3
202&5|135&5|655&5|186&3|432&4|83&1|7&5|189&4|661&5|173&3|115&5|172&4;32&5|208&5|96&5|431&3;202&5|135&5|655&5|186&3|432&4|83&1|7&5|189&4|661&5|173&3|115&5|172&4|32&5|208&5|96&5|431&3
302&4|248&3|919&2|1012&3|258&2|93&4|268&5|10&4|475&4|127&5|109&5|1017&2;108&4|1226&4|742&2|249&3;302&4|248&3|919&2|1012&3|258&2|93&4|268&5|10&4|475&4|127&5|109&5|1017&2|108&4|1226&4|742&2|249&3
678&2|260&2|1469&3|602&3|99&5|1039&4|294&4|326&4|215&5|79&4|417&5|133&5;934&4|1311&1|384&1|365&5;678&2|260&2|1469&3|602&3|99&5|1039&4|294&4|326&4|215&5|79&4|417&5|133&5|934&4|1311&1|384&1|365&5
288&4|100&3|200&5|413&4|895&3|236&4|816&3|458&1|717&5|5&5|286&2|250&4;860&4|379&4|769&4|53&5;288&4|100&3|200&5|413&4|895&3|236&4|816&3|458&1|717&5|5&5|286&2|250&4|860&4|379&4|769&4|53&5
276&2|173&5|246&5|100&3|153&5|1&5|215&2|191&3|209&4|154&5|498&5|4&3;228&3|518&4|778&2|97&2;276&2|173&5|246&5|100&3|153&5|1&5|215&2|191&3|209&4|154&5|498&5|4&3|228&3|518&4|778&2|97&2
326&5|938&4|304&3|303&2|1025&5|306&2|690&3|879&4|258&5|989&3|334&4|242&4;324&3|333&3|286&4|319&4;326&5|938&4|304&3|303&2|1025&5|306&2|690&3|879&4|258&5|989&3|334&4|242&4|324&3|333&3|286&4|319&4
