state;action_reward;n_state
64&5|204&4|70&4|60&5|195&3|815&4|100&4|483&3|183&4|692&4|328&4|535&4;1300&2|1136&4|1300&2|470&3|333&3|1300&2|275&5|88&4|333&3|1226&4;64&5|204&4|70&4|60&5|195&3|815&4|100&4|483&3|183&4|692&4|328&4|535&4|1300&2|1136&4|1300&2|470&3|333&3|1300&2|275&5|88&4|333&3|1226&4
291&4|471&3|536&2|204&4|294&5|547&5|837&4|11&3|385&4|28&4|88&4|517&3;388&3|1052&5|1052&5|751&4|316&5|124&5|388&3|452&3|272&4|343&2;291&4|471&3|536&2|204&4|294&5|547&5|837&4|11&3|385&4|28&4|88&4|517&3|388&3|1052&5|1052&5|751&4|316&5|124&5|388&3|452&3|272&4|343&2
409&4|841&4|222&5|298&5|118&5|274&5|237&5|275&4|1190&5|508&5|255&5|1028&5;476&5|424&3|476&5|1277&5|1023&4|931&2|106&3|931&2|931&2|818&3;409&4|841&4|222&5|298&5|118&5|274&5|237&5|275&4|1190&5|508&5|255&5|1028&5|476&5|424&3|476&5|1277&5|1023&4|931&2|106&3|931&2|931&2|818&3
218&3|235&4|472&2|288&4|71&3|1039&4|627&3|432&3|732&4|762&4|561&2|22&4;105&3|444&3|1228&2|885&3|567&3|27&1|824&1|413&2|1217&3|1061&3;218&3|235&4|472&2|288&4|71&3|1039&4|627&3|432&3|732&4|762&4|561&2|22&4|105&3|444&3|1228&2|885&3|567&3|27&1|824&1|413&2|1217&3|1061&3
327&1|340&4|455&1|286&4|111&5|9&4|475&4|301&3|508&4|690&4|282&3|346&4;118&1|109&1|151&4|1009&4|151&4|628&3|118&1|109&1|117&4|117&4;327&1|340&4|455&1|286&4|111&5|9&4|475&4|301&3|508&4|690&4|282&3|346&4|118&1|109&1|151&4|1009&4|151&4|628&3|118&1|109&1|117&4|117&4
258&4|292&1|264&1|748&2|682&3|681&1|268&4|302&4|336&1|294&3|330&3|270&2;358&1|358&1|923&5|923&5|313&5|313&5|678&1|328&1|678&1|678&1;258&4|292&1|264&1|748&2|682&3|681&1|268&4|302&4|336&1|294&3|330&3|270&2|358&1|358&1|923&5|923&5|313&5|313&5|678&1|328&1|678&1|678&1
271&4|302&5|313&4|288&5|912&3|751&5|303&5|690&3|328&4|316&4|269&3|286&4;1105&1|1105&1|312&2|312&2|887&4|875&1|312&2|875&1|875&1|312&2;271&4|302&5|313&4|288&5|912&3|751&5|303&5|690&3|328&4|316&4|269&3|286&4|1105&1|1105&1|312&2|312&2|887&4|875&1|312&2|875&1|875&1|312&2
425&5|204&4|174&4|48&5|26&5|11&4|806&5|180&5|172&4|2&3|197&5|209&5;208&5|654&5|528&5|480&5|23&5|181&4|170&5|480&5|64&5|451&4;425&5|204&4|174&4|48&5|26&5|11&4|806&5|180&5|172&4|2&3|197&5|209&5|208&5|654&5|528&5|480&5|23&5|181&4|170&5|480&5|64&5|451&4
412&1|756&3|1052&3|546&3|121&4|123&4|105&4|871&3|64&5|151&4|1093&5|1&3;405&5|833&4|117&5|1047&3|1047&3|117&5|7&5|1047&3|117&5|117&5;412&1|756&3|1052&3|546&3|121&4|123&4|105&4|871&3|64&5|151&4|1093&5|1&3|405&5|833&4|117&5|1047&3|1047&3|117&5|7&5|1047&3|117&5|117&5
289&3|502&1|99&5|212&2|476&4|692&3|418&5|513&5|498&5|235&4|462&5|469&4;1065&2|608&4|660&3|699&4|1203&2|28&3|5&4|453&2|215&3|942&4;289&3|502&1|99&5|212&2|476&4|692&3|418&5|513&5|498&5|235&4|462&5|469&4|1065&2|608&4|660&3|699&4|1203&2|28&3|5&4|453&2|215&3|942&4
357&4|640&2|89&5|615&2|646&4|98&4|505&3|496&4|197&4|183&5|182&3|56&3;210&3|195&4|522&5|179&5|153&3|180&3|179&5|195&4|171&4|522&5;357&4|640&2|89&5|615&2|646&4|98&4|505&3|496&4|197&4|183&5|182&3|56&3|210&3|195&4|522&5|179&5|153&3|180&3|179&5|195&4|171&4|522&5
88&2|42&1|735&3|69&5|642&3|195&4|423&4|528&5|22&5|318&5|294&3|187&5;483&5|204&3|381&3|211&4|199&5|237&4|527&3|238&5|238&5|963&4;88&2|42&1|735&3|69&5|642&3|195&4|423&4|528&5|22&5|318&5|294&3|187&5|483&5|204&3|381&3|211&4|199&5|237&4|527&3|238&5|238&5|963&4
134&3|633&4|521&5|510&4|485&5|70&4|480&5|69&5|276&4|8&3|435&5|237&3;63&2|1119&4|715&2|229&3|610&4|712&2|196&4|230&3|88&4|610&4;134&3|633&4|521&5|510&4|485&5|70&4|480&5|69&5|276&4|8&3|435&5|237&3|63&2|1119&4|715&2|229&3|610&4|712&2|196&4|230&3|88&4|610&4
131&3|127&4|237&1|597&4|761&5|25&2|181&4|328&3|755&3|1&3|472&2|538&4;1177&5|300&5|283&4|258&5|283&4|300&5|748&4|50&5|740&4|740&4;131&3|127&4|237&1|597&4|761&5|25&2|181&4|328&3|755&3|1&3|472&2|538&4|1177&5|300&5|283&4|258&5|283&4|300&5|748&4|50&5|740&4|740&4
215&4|396&4|685&5|356&4|1471&3|366&3|121&2|1206&3|475&5|572&3|164&4|375&1;801&3|747&4|1090&2|420&4|575&2|769&1|780&5|820&4|755&2|790&4;215&4|396&4|685&5|356&4|1471&3|366&3|121&2|1206&3|475&5|572&3|164&4|375&1|801&3|747&4|1090&2|420&4|575&2|769&1|780&5|820&4|755&2|790&4
69&5|443&5|624&4|23&3|264&4|187&4|615&4|275&4|521&5|587&4|51&2|578&3;175&5|626&5|569&4|563&2|570&3|53&5|570&3|667&5|334&5|260&1;69&5|443&5|624&4|23&3|264&4|187&4|615&4|275&4|521&5|587&4|51&2|578&3|175&5|626&5|569&4|563&2|570&3|53&5|570&3|667&5|334&5|260&1
692&5|412&2|254&3|294&3|172&5|403&4|70&4|220&4|255&5|321&5|476&3|167&4;50&5|153&4|862&1|862&1|781&4|50&5|862&1|50&5|181&4|153&4;692&5|412&2|254&3|294&3|172&5|403&4|70&4|220&4|255&5|321&5|476&3|167&4|50&5|153&4|862&1|862&1|781&4|50&5|862&1|50&5|181&4|153&4
739&4|90&4|255&5|722&5|36&4|724&4|756&4|709&5|553&5|111&5|794&4|781&4;282&4|546&4|846&4|15&4|846&4|20&4|282&4|20&4|282&4|846&4;739&4|90&4|255&5|722&5|36&4|724&4|756&4|709&5|553&5|111&5|794&4|781&4|282&4|546&4|846&4|15&4|846&4|20&4|282&4|20&4|282&4|846&4
90&3|183&3|293&3|144&4|301&3|655&4|865&5|311&3|333&2|222&2|659&4|405&2;184&3|1131&4|121&2|1141&3|469&4|419&4|132&5|184&3|1098&4|179&2;90&3|183&3|293&3|144&4|301&3|655&4|865&5|311&3|333&2|222&2|659&4|405&2|184&3|1131&4|121&2|1141&3|469&4|419&4|132&5|184&3|1098&4|179&2
237&3|129&4|319&2|748&2|508&4|300&4|591&4|328&3|282&3|321&4|117&3|873&3;871&2|1051&2|7&4|475&3|475&3|871&2|871&2|1011&3|458&4|7&4;237&3|129&4|319&2|748&2|508&4|300&4|591&4|328&3|282&3|321&4|117&3|873&3|871&2|1051&2|7&4|475&3|475&3|871&2|871&2|1011&3|458&4|7&4
323&4|326&5|313&5|302&2|539&4|300&3|294&4|286&3|301&2|258&4|751&5|879&4;508&3|892&2|338&4|892&2|15&5|508&3|1&5|892&2|338&4|15&5;323&4|326&5|313&5|302&2|539&4|300&3|294&4|286&3|301&2|258&4|751&5|879&4|508&3|892&2|338&4|892&2|15&5|508&3|1&5|892&2|338&4|15&5
313&5|272&5|890&1|750&3|748&1|288&4|937&4|292&3|300&4|690&3|749&2|334&3;878&2|312&2|1624&2|888&3|988&2|988&2|312&2|688&3|878&2|353&2;313&5|272&5|890&1|750&3|748&1|288&4|937&4|292&3|300&4|690&3|749&2|334&3|878&2|312&2|1624&2|888&3|988&2|988&2|312&2|688&3|878&2|353&2
268&5|874&5|1395&4|344&1|754&1|313&4|324&4|333&4|328&2|749&4|340&5|303&5;752&4|886&4|886&4|752&4|1105&2|902&5|752&4|902&5|270&5|902&5;268&5|874&5|1395&4|344&1|754&1|313&4|324&4|333&4|328&2|749&4|340&5|303&5|752&4|886&4|886&4|752&4|1105&2|902&5|752&4|902&5|270&5|902&5
322&4|319&3|286&3|116&4|508&4|124&3|304&4|237&4|742&4|546&2|287&4|678&4;100&5|117&4|15&4|871&2|100&5|871&2|100&5|871&2|117&4|117&4;322&4|319&3|286&3|116&4|508&4|124&3|304&4|237&4|742&4|546&2|287&4|678&4|100&5|117&4|15&4|871&2|100&5|871&2|100&5|871&2|117&4|117&4
307&2|272&2|319&4|270&4|258&4|345&3|313&4|900&3|315&4|269&4|333&4|294&4;288&5|748&5|748&5|352&5|288&5|352&5|288&5|347&4|352&5|352&5;307&2|272&2|319&4|270&4|258&4|345&3|313&4|900&3|315&4|269&4|333&4|294&4|288&5|748&5|748&5|352&5|288&5|352&5|288&5|347&4|352&5|352&5
763&2|100&5|288&3|181&4|278&3|597&3|121&4|472&3|823&4|7&3|15&4|282&4;476&3|764&4|934&2|411&3|820&4|926&3|411&3|1061&2|411&3|926&3;763&2|100&5|288&3|181&4|278&3|597&3|121&4|472&3|823&4|7&3|15&4|282&4|476&3|764&4|934&2|411&3|820&4|926&3|411&3|1061&2|411&3|926&3
140&3|98&5|568&3|357&5|228&2|485&5|742&5|199&3|185&4|211&5|699&4|588&5;451&4|447&1|628&3|693&2|402&5|549&5|1444&2|693&2|549&5|1444&2;140&3|98&5|568&3|357&5|228&2|485&5|742&5|199&3|185&4|211&5|699&4|588&5|451&4|447&1|628&3|693&2|402&5|549&5|1444&2|693&2|549&5|1444&2
272&3|751&3|333&4|1091&1|358&3|902&4|539&2|101&2|588&2|206&3|1&4|1110&4;235&3|926&2|926&2|111&4|25&3|25&3|926&2|25&3|926&2|926&2;272&3|751&3|333&4|1091&1|358&3|902&4|539&2|101&2|588&2|206&3|1&4|1110&4|235&3|926&2|926&2|111&4|25&3|25&3|926&2|25&3|926&2|926&2
194&4|300&4|249&3|508&3|294&3|66&2|692&3|204&5|1047&2|1028&3|56&3|127&3;763&3|1054&3|1040&2|1023&2|763&3|1023&2|1023&2|411&4|763&3|410&5;194&4|300&4|249&3|508&3|294&3|66&2|692&3|204&5|1047&2|1028&3|56&3|127&3|763&3|1054&3|1040&2|1023&2|763&3|1023&2|1023&2|411&4|763&3|410&5
286&5|242&5|297&4|274&3|9&5|14&5|248&3|19&4|126&4|275&2|293&3|285&5;536&5|276&5|269&5|536&5|276&5|269&5|302&5|269&5|750&5|302&5;286&5|242&5|297&4|274&3|9&5|14&5|248&3|19&4|126&4|275&2|293&3|285&5|536&5|276&5|269&5|536&5|276&5|269&5|302&5|269&5|750&5|302&5
275&4|477&5|866&2|845&4|14&4|283&4|151&1|276&2|125&1|815&4|222&4|118&3;412&2|934&3|934&3|235&4|820&3|235&4|934&3|820&3|412&2|235&4;275&4|477&5|866&2|845&4|14&4|283&4|151&1|276&2|125&1|815&4|222&4|118&3|412&2|934&3|934&3|235&4|820&3|235&4|934&3|820&3|412&2|235&4
118&2|237&2|357&4|137&1|58&3|673&3|162&4|71&3|468&3|427&4|64&5|423&3;274&3|298&2|532&3|284&2|284&2|532&3|532&3|220&5|88&3|735&5;118&2|237&2|357&4|137&1|58&3|673&3|162&4|71&3|468&3|427&4|64&5|423&3|274&3|298&2|532&3|284&2|284&2|532&3|532&3|220&5|88&3|735&5
328&4|313&4|1024&3|311&4|272&3|286&4|269&5|304&4|258&4|333&4|242&4|340&4;307&2|326&3|896&2|896&2|344&2|307&2|326&3|307&2|896&2|896&2;328&4|313&4|1024&3|311&4|272&3|286&4|269&5|304&4|258&4|333&4|242&4|340&4|307&2|326&3|896&2|896&2|344&2|307&2|326&3|307&2|896&2|896&2
132&5|435&4|208&5|196&3|15&5|969&5|210&5|568&5|485&5|566&5|153&4|79&5;419&5|174&5|174&5|419&5|162&3|174&5|88&5|419&5|228&5|174&5;132&5|435&4|208&5|196&3|15&5|969&5|210&5|568&5|485&5|566&5|153&4|79&5|419&5|174&5|174&5|419&5|162&3|174&5|88&5|419&5|228&5|174&5
69&2|469&5|83&5|357&3|191&5|582&5|660&3|187&4|193&4|11&1|724&4|427&3;1119&3|737&4|737&4|570&3|470&3|1074&4|378&4|403&4|1074&4|423&4;69&2|469&5|83&5|357&3|191&5|582&5|660&3|187&4|193&4|11&1|724&4|427&3|1119&3|737&4|737&4|570&3|470&3|1074&4|378&4|403&4|1074&4|423&4
242&4|269&4|338&1|881&2|328&2|300&3|872&3|888&4|326&3|288&3|319&3|304&3;1176&5|270&5|1175&5|270&5|1176&5|683&5|889&5|1175&5|270&5|1176&5;242&4|269&4|338&1|881&2|328&2|300&3|872&3|888&4|326&3|288&3|319&3|304&3|1176&5|270&5|1175&5|270&5|1176&5|683&5|889&5|1175&5|270&5|1176&5
222&4|1&4|473&3|13&4|748&2|405&2|1011&3|546&4|121&4|476&4|258&3|1028&3;934&4|120&1|824&2|120&1|831&1|934&4|934&4|831&1|120&1|831&1;222&4|1&4|473&3|13&4|748&2|405&2|1011&3|546&4|121&4|476&4|258&3|1028&3|934&4|120&1|824&2|120&1|831&1|934&4|934&4|831&1|120&1|831&1
754&3|471&3|496&5|597&3|582&4|879&3|930&2|237&3|483&5|288&5|934&4|124&3;118&3|121&1|223&5|223&5|12&4|827&3|338&2|408&5|462&5|252&4;754&3|471&3|496&5|597&3|582&4|879&3|930&2|237&3|483&5|288&5|934&4|124&3|118&3|121&1|223&5|223&5|12&4|827&3|338&2|408&5|462&5|252&4
248&4|286&4|117&3|676&4|283&3|302&4|304&2|124&4|151&3|532&3|1137&3|288&2;307&4|306&4|515&5|311&5|307&4|20&4|20&4|1380&3|306&4|713&4;248&4|286&4|117&3|676&4|283&3|302&4|304&2|124&4|151&3|532&3|1137&3|288&2|307&4|306&4|515&5|311&5|307&4|20&4|20&4|1380&3|306&4|713&4
259&3|1655&2|27&3|325&4|70&4|365&3|549&3|210&4|1478&3|582&1|188&4|780&3;2&3|472&3|174&4|465&3|797&2|625&3|161&3|541&3|699&3|562&2;259&3|1655&2|27&3|325&4|70&4|365&3|549&3|210&4|1478&3|582&1|188&4|780&3|2&3|472&3|174&4|465&3|797&2|625&3|161&3|541&3|699&3|562&2
427&4|625&5|568&4|421&5|172&5|27&5|406&4|38&5|928&5|633&5|298&5|143&5;676&5|133&5|15&5|207&5|676&5|133&5|133&5|676&5|676&5|197&5;427&4|625&5|568&4|421&5|172&5|27&5|406&4|38&5|928&5|633&5|298&5|143&5|676&5|133&5|15&5|207&5|676&5|133&5|133&5|676&5|676&5|197&5
9&5|212&4|258&5|127&4|462&4|179&5|86&3|146&3|509&4|640&1|213&4|116&4;382&5|382&5|949&2|582&5|381&5|1018&2|381&5|736&3|510&5|381&5;9&5|212&4|258&5|127&4|462&4|179&5|86&3|146&3|509&4|640&1|213&4|116&4|382&5|382&5|949&2|582&5|381&5|1018&2|381&5|736&3|510&5|381&5
243&3|301&5|308&4|892&4|690&5|323&5|289&2|895&5|286&5|304&5|307&4|258&5;988&4|988&4|678&5|748&3|748&3|988&4|748&3|988&4|901&4|988&4;243&3|301&5|308&4|892&4|690&5|323&5|289&2|895&5|286&5|304&5|307&4|258&5|988&4|988&4|678&5|748&3|748&3|988&4|748&3|988&4|901&4|988&4
628&4|273&3|181&4|687&1|25&4|117&4|323&4|125&5|471&4|245&3|1&4|325&1;118&3|118&3|756&4|237&4|410&4|118&3|7&3|756&4|410&4|410&4;628&4|273&3|181&4|687&1|25&4|117&4|323&4|125&5|471&4|245&3|1&4|325&1|118&3|118&3|756&4|237&4|410&4|118&3|7&3|756&4|410&4|410&4
435&4|772&4|377&2|121&4|13&4|22&5|544&3|826&3|124&5|273&2|662&4|285&4;372&2|42&4|47&5|4&5|357&5|603&5|1168&2|226&2|531&4|157&4;435&4|772&4|377&2|121&4|13&4|22&5|544&3|826&3|124&5|273&2|662&4|285&4|372&2|42&4|47&5|4&5|357&5|603&5|1168&2|226&2|531&4|157&4
663&5|286&5|135&5|654&5|1063&5|14&5|427&5|340&5|531&3|197&5|302&4|321&5;488&4|488&4|425&4|86&5|603&5|528&4|528&4|357&5|488&4|488&4;663&5|286&5|135&5|654&5|1063&5|14&5|427&5|340&5|531&3|197&5|302&4|321&5|488&4|488&4|425&4|86&5|603&5|528&4|528&4|357&5|488&4|488&4
748&4|288&3|302&3|244&5|235&3|236&5|762&4|50&5|546&3|150&4|181&5|410&4;89&4|195&4|505&4|480&4|195&4|505&4|169&5|357&4|505&4|489&5;748&4|288&3|302&3|244&5|235&3|236&5|762&4|50&5|546&3|150&4|181&5|410&4|89&4|195&4|505&4|480&4|195&4|505&4|169&5|357&4|505&4|489&5
153&4|23&4|648&4|269&4|33&4|642&3|663&3|55&4|47&4|603&4|273&4|194&3;591&3|5&3|695&3|164&3|410&3|591&3|695&3|294&2|504&3|410&3;153&4|23&4|648&4|269&4|33&4|642&3|663&3|55&4|47&4|603&4|273&4|194&3|591&3|5&3|695&3|164&3|410&3|591&3|695&3|294&2|504&3|410&3
328&4|245&4|346&3|876&3|311&4|258&2|988&4|313&5|269&4|748&4|243&2|682&3;50&4|298&4|249&2|295&3|295&3|50&4|295&3|295&3|295&3|298&4;328&4|245&4|346&3|876&3|311&4|258&2|988&4|313&5|269&4|748&4|243&2|682&3|50&4|298&4|249&2|295&3|295&3|50&4|295&3|295&3|295&3|298&4
402&4|326&3|568&4|403&4|300&4|490&4|29&4|173&5|427&4|174&4|72&4|121&4;117&3|1063&3|237&3|70&3|203&3|196&4|1263&3|831&3|1263&3|73&5;402&4|326&3|568&4|403&4|300&4|490&4|29&4|173&5|427&4|174&4|72&4|121&4|117&3|1063&3|237&3|70&3|203&3|196&4|1263&3|831&3|1263&3|73&5
