item_id;vectors
10;0.403948|-0.41807568|1.0890958|-0.12919186|-0.37181213|0.15096943|0.4039039|-0.26094157|0.9200415|0.68337655|0.4653651|0.12931447|0.6048312|0.7079878|0.79689133|-1.0872465|0.42109165|1.1804423|-0.33934793|0.4079719|-0.68486094|0.15067309|0.3147152|-0.63987374|0.61506045|-0.8536029|0.06524199|0.810624|0.21052644|-0.25009903|-0.9444577|0.927216|0.096895814|0.8142466|0.25229436|-0.097138524|-1.0007911|0.49903178|-0.004715087|-0.5896656|0.35993856|0.059481323|-0.16269997|0.05046475|-0.24147198|0.3689011|-0.02408728|0.3553569|-0.31964213|0.0042880476
11;-0.45319855|0.10418573|0.6842748|-0.5149605|-0.5143616|-0.5404436|-0.16197944|-1.3620461|0.12353409|0.40318376|0.6879772|0.43287516|0.015270174|-0.6029414|0.2105062|-0.35981068|0.846274|1.5965506|0.16763693|-0.6531804|-0.23978391|0.7550322|0.7664099|-0.13299158|0.6757785|0.87983865|-0.4904656|0.53116995|0.012004197|0.43485513|0.2973936|1.077865|0.41483992|-0.3937188|0.5746803|0.68371683|-1.296223|0.18421198|0.22808197|-0.50783074|0.7267413|-0.15564658|-1.1896329|0.6208243|-0.69134384|1.7623684|0.15352836|0.38526314|-0.95735604|-1.0253543
12;-0.16567448|-1.1191821|0.9631368|-0.068927675|-1.0888311|-0.5857387|0.6756333|-0.70039|-0.15539505|0.23468037|0.4713713|-0.29242235|-0.09119618|0.27386034|0.14533915|-1.161726|0.33818835|0.2694508|-0.030801818|-0.18485048|-0.81904596|0.18542469|0.61531913|0.0052235723|0.17549941|0.0722792|-0.39121002|1.0288924|0.010808259|0.7956172|-0.26338512|0.34072763|-0.49356785|-0.64657927|0.21134718|0.75080794|-1.0561655|0.27393824|0.04586628|-1.0213821|0.4015121|-0.5755466|-0.22438356|0.8807961|-1.0478147|0.34429112|-0.06968698|0.66404206|-1.0479276|-0.20421627
13;0.5598291|-1.1054782|0.92363876|0.3762375|-0.73876816|-0.6144288|0.3700338|-0.04544449|-0.4740404|0.21336287|0.46690008|0.46999657|0.51678264|0.15419932|0.9828505|-1.1409312|0.7576579|1.3647485|-0.13082585|0.270832|-0.42959642|0.8583087|0.49046168|-0.09663315|0.54853815|-0.062299818|-0.77328783|0.8482487|0.3908701|0.6883429|-0.47101817|1.254895|0.8344222|0.051165655|-0.30828118|0.0025600344|-0.8067544|0.44053704|0.06368081|-0.5281685|0.9729043|0.009974986|-0.8394681|-0.14072588|0.3537413|0.036864102|-0.7667887|0.7688376|-0.16276595|0.10680997
14;-0.36601537|-0.0015987456|0.63568705|-0.023440517|-0.58358884|0.26483464|0.6539074|-1.2707858|0.1400224|0.10917416|1.0170848|0.23361363|0.7990787|1.0374037|0.8336043|-0.8554042|0.39612553|-0.005616188|0.21213445|-0.20105231|0.19421661|0.12153807|0.96402407|-0.52013505|0.8906792|0.75413096|-0.79486585|0.6974855|0.24411476|0.55073535|-0.3778507|1.1182957|-0.24701503|0.0478255|-1.2385781|-0.17681217|-1.5253401|0.39546022|0.45944282|-0.48533154|0.6394323|0.6488116|0.1371212|0.5033101|-0.7617076|1.2253072|-0.7383925|0.638247|-1.2080026|0.017691791
15;0.12373862|-0.99656093|0.7425386|0.4267137|-0.9156707|-0.8487738|0.03247623|-0.9619769|0.27323914|-0.16301972|0.4956175|0.033599794|-0.014416024|-0.45963115|0.7272244|-0.5864427|0.2965297|1.058224|0.47889557|0.07446145|-0.29265088|0.2986092|0.3618539|-0.37356162|0.49308938|0.24620387|-0.4759412|0.45668632|0.37343976|0.0554893|-0.6513592|0.30540395|-0.4673519|-0.07899387|-0.3725127|0.09831309|-1.127475|-0.62953013|-0.4549139|-0.15542662|0.36001676|-0.67166674|-0.8334778|0.5233158|-0.57873285|0.47796595|-0.19377631|1.3193282|-1.0882882|-0.9454759
16;-0.015481174|-0.32163253|0.6720412|0.07391708|-0.816888|-0.36425364|0.24144804|-0.9240701|0.83455056|0.30872613|0.37166315|0.4895454|0.48204875|0.01183787|0.5903398|-0.8846158|0.27288014|0.8638914|-0.21348312|0.088350154|-0.29909244|0.20098597|0.6282336|-0.30297717|0.4364093|-0.028357519|0.085231125|0.23681691|0.0072588176|0.10215774|-0.4632618|1.0937113|0.5221677|0.49965793|0.06904499|-0.19477215|-0.5798456|0.17038713|0.21582559|-0.10552487|0.71766233|-0.10955742|-0.70786214|0.66519535|-1.1026177|1.2018279|-0.047617823|0.4537228|-0.63546664|-0.2885547
17;0.3213572|-0.116470575|0.81234056|0.33187592|-0.66931885|-0.25357|0.23872425|-0.47881266|0.3964936|0.29675308|0.588697|0.70522916|0.04470077|-0.008282006|0.49842036|-0.71283996|0.32624957|0.708458|-0.40706715|0.7353131|-0.33297592|0.2143349|0.21485335|-0.77429515|0.8800492|-0.5926139|-0.72473246|0.84524685|0.2255818|0.039225966|-0.36801636|0.33868062|-0.006022632|-0.378649|-0.3171653|0.33485106|-0.735916|0.50495344|0.15359002|-0.7830367|0.52858955|-0.8812466|-0.2865231|-0.20404735|-0.7822792|0.66825664|0.5383101|0.771519|-0.39920384|-0.6395605
18;0.1582467|-0.15652066|0.37435627|0.014414124|-0.1445806|0.3731662|-0.05396363|-0.85142624|0.99679035|0.90944934|-0.12499821|0.2632119|0.20918594|0.12562361|0.11225425|-0.28449056|0.22110374|0.7703691|-1.000243|-0.69145286|-0.8178282|0.19226372|0.0659205|-0.49918514|0.23500615|0.145673|-0.6202196|1.0690129|0.6782416|-0.12006208|0.13372675|1.3195875|-0.54623324|-0.3228369|-0.0053143576|0.22964223|-0.3080748|0.24411888|0.6196907|-0.9094685|0.5716863|-0.9585676|-1.1188068|0.61850923|-1.3712305|0.92312324|1.1112449|0.31247032|-0.81625956|0.08321893
19;0.34210727|0.11461058|-0.39763987|0.5240826|-0.47204024|-1.1328844|0.43748507|-0.40614235|-0.038152948|-0.33609286|0.94351345|0.5518843|0.15693724|0.31021643|0.263168|0.19425142|0.6429626|0.7440642|-0.26439697|-0.47587058|-0.46456757|1.0264317|-0.32167605|0.23781583|0.5632588|-0.115101725|-0.8614968|0.65809876|0.23011124|1.1370318|-0.35772705|0.13690096|-0.5853983|0.09557651|-0.3436945|0.49892646|0.07918942|0.24844255|0.21479914|-0.58073324|0.8796514|-1.2100672|-1.3486826|0.72509646|-0.32740673|0.6097819|0.39771357|0.20209756|-0.8022961|-0.7638924
20;0.056536853|-0.4333563|0.5348107|1.0646044|-1.2467482|-0.23529056|-0.028585657|-0.6064023|-0.05109279|0.09874657|0.5115249|0.49681264|-0.13840488|0.18222585|-0.17222223|-0.76074326|0.345436|0.80007434|0.09895131|0.014892697|0.028940678|0.2780059|0.27682176|-0.29377192|0.48871803|0.29566258|-0.76297265|0.4300372|-0.15508875|-0.22404942|-0.25282788|0.43688118|-0.07025464|0.32812363|-0.35792124|0.14564419|-1.0455335|-0.25598258|0.48087242|-0.32028693|0.20826562|-0.45813525|-1.0311255|0.91553736|-1.3975672|0.7406329|0.7814334|0.45848703|-0.5836473|-0.5008527
21;0.0226188|0.15120605|0.8245037|-0.0045439377|-0.55509174|0.67475754|-0.23284587|-0.7531214|-0.042613998|0.16958332|0.63348377|-0.21849166|-0.17032862|0.6839643|0.52849174|-0.18497282|0.4147707|0.94195795|-0.5725504|0.47269848|-0.43354645|0.45104393|0.30313715|-0.9511156|0.2294761|0.17910977|-0.7449091|0.8724164|-0.66196066|0.47415283|0.27928823|1.1259686|-0.9758459|0.04638703|0.8567069|0.305027|-1.0023644|-0.48136353|-0.15393654|-0.8544221|0.2329093|-0.34021178|-0.3808725|0.8213469|-1.0572975|1.075161|-0.096223354|0.86162317|-0.43347758|-0.513082
22;0.9084398|-0.45517245|-0.07836604|-0.5390001|-0.88613355|-0.47953784|0.0114206225|-0.43543762|0.3742246|0.13520625|0.34247273|0.23303415|0.45710903|0.45918453|0.621809|-0.34547666|0.49504808|1.132907|-0.53869355|-0.92346936|-0.23134339|1.0323864|0.16142625|-1.0611762|0.7095116|0.07379593|-0.088801175|1.2876973|0.5809561|0.30479136|-0.5983639|0.5988779|-0.35269406|0.076252475|-0.19443294|0.6361105|-0.76180726|-0.33048052|-0.21368447|-0.61965996|0.25542498|-0.7039503|-0.15703654|-0.37842074|-0.4803783|0.98267406|-0.10130012|0.835788|-0.11410439|-0.7528618
23;0.28191406|-0.540218|0.8709298|-0.2576558|-1.7371467|-0.57967633|-0.40142366|-0.32686093|-0.009976193|0.15545996|0.33252102|-0.28601885|-0.07808256|0.2252389|0.25216103|-0.8671272|0.2590623|0.53471076|0.42277375|0.021880008|-1.2847612|0.89812917|0.1467301|-0.44414347|0.8077779|0.36504996|-0.35835737|0.6935893|0.8148142|0.99680495|0.10011679|0.5459033|0.23658341|-0.038360238|-0.13735273|-0.3997823|-0.46715117|-0.3213778|-0.15285063|-0.4497396|0.3872432|-0.78497106|-1.0071745|0.16945651|-0.38747913|0.84432805|-0.040949583|0.41994292|-1.4954094|-0.5400076
24;1.0223296|-1.0601233|1.1153855|-0.04535017|-1.5297039|-0.735777|0.1531155|-0.05686927|-0.075628296|0.2415171|-0.18760496|-0.13026713|-0.37332344|0.38658383|0.31908694|-0.5721444|-0.22351253|0.9750294|0.07085866|-0.7404914|-0.7521641|-0.10984376|0.33758515|-0.14195657|0.5989428|-0.29134667|-0.042158067|0.65476745|0.09683808|0.072224945|0.04903239|0.5223154|-0.49291992|0.09757371|0.29673672|0.20985132|-0.05141598|0.7640333|-0.07747039|-0.5364239|0.58265734|-0.21628863|-1.2404096|0.59829485|-0.21925947|0.5742311|1.2215352|0.3378703|-0.8250233|-0.04047805
25;0.60653335|-0.2759903|0.118884206|0.3774582|-0.033934712|-0.30673078|-0.056429416|-1.1234674|0.30766603|-0.092615545|0.04025942|-0.45059818|-0.37170702|0.033011064|0.19086823|-0.46490923|0.65805817|0.8093239|-0.064866245|-0.52826387|-1.1086192|0.67315024|0.1734615|-0.51244366|0.6711782|0.15260361|-0.8789326|0.23322675|0.028913423|0.34044948|-0.29920906|0.9810918|-0.38741648|-0.08925395|0.050869465|0.80965245|-1.3632896|-0.13575263|0.018470045|-0.7052443|0.19762169|-0.4059792|-0.6584302|0.869004|-0.86927193|0.757035|0.15127912|0.65680057|-0.34848627|-0.35006148
26;0.15034488|-0.50556314|0.2642884|0.5843133|-1.2375764|-0.3751927|0.25349626|-0.90182793|0.5247838|0.187628|0.9146491|-0.23048668|0.011278659|-0.13751137|-0.33124518|-0.8620463|0.4837373|0.53299725|-0.13540539|0.46380827|-0.41976047|1.0852644|0.85700834|0.015073627|-0.11457002|0.017950928|-0.532085|0.97711253|0.51835704|0.62696564|0.12121725|0.86743164|-0.6208042|-0.30593926|0.13888076|0.254656|-0.76052403|0.17611143|0.1943458|-0.1166423|0.49701443|0.40717956|-0.9992739|0.39820588|-1.17394|0.5669227|0.46546233|0.75314903|-0.21364489|-0.39641353
27;-0.19759032|-0.55800354|1.0313458|-0.31973845|-0.99555635|0.0021754652|-0.14081225|-1.1163051|-0.16028596|-0.17628643|0.4734048|0.4868757|0.57006705|0.28854713|0.78279066|-0.93876207|-0.09338343|0.45165008|-0.07698764|-0.19619316|-0.1141499|0.483259|0.4185333|0.04187578|0.555391|-0.40864882|-0.05531156|0.914964|0.7811864|1.0612882|-0.7068534|0.29658687|-0.44499028|-0.87987006|-0.09519599|-0.57048285|-0.9916701|0.18992336|-0.773039|0.1758591|0.42070034|-0.07937124|0.10791737|0.82244027|-0.34163466|1.715117|-0.115846425|0.6651054|-0.5816776|-0.84222424
28;0.2417936|-0.9409215|0.4872205|0.68715715|-0.88104963|-0.20962413|-0.2406897|-0.41687554|-0.2563737|0.22425777|0.29011673|0.4931898|0.20613879|0.16266927|0.1938202|-0.8812878|0.521485|0.9631895|-0.0043849945|0.00024738908|-0.72554994|0.36867064|0.75764084|-0.16908541|0.8492557|0.643302|-0.6256451|0.3566874|-0.08826026|0.27718812|-0.10610846|0.94314486|-0.18493107|-0.8501426|0.25595403|0.34776613|-0.12741256|-0.2618385|0.26354247|-0.6930692|-0.32933533|-0.33010566|-0.9811193|0.59037066|-0.64487886|0.7207462|0.5570333|1.0865337|-0.032756925|-0.45743006
29;-0.16121855|-0.25495905|0.5365434|-0.10109314|-0.3248566|-0.27845174|-0.014539421|-0.63258857|0.38836664|0.36947307|0.7325616|0.70609546|-0.13843194|0.20542762|0.6700975|-0.33226454|0.59996235|1.0700042|-0.787315|-0.40128317|-0.50999224|0.6258938|0.3270702|-0.54268485|0.665627|-0.16567798|-0.6072516|0.6094629|0.22145043|0.25059628|-0.50511235|1.092405|-0.207169|-0.29175502|-0.14897618|0.18365651|-0.5180285|0.56977403|0.26869085|-0.5120193|0.58054215|-0.27957952|-0.49927798|0.16215603|-0.57793474|0.7496902|0.64596856|0.49661654|-0.4614758|0.08896434
30;0.5027981|-0.24745901|0.57860726|0.05678864|-0.8289234|-0.13478985|0.19559595|-0.23429233|0.5427874|0.48390192|0.27369547|-0.42344344|0.20719229|0.012706757|0.7009943|-1.0053132|0.123393744|0.76152354|-0.67896634|-0.019096307|-0.9340029|1.0738885|0.68429625|-0.13136499|0.7617024|0.43444702|-0.87718385|0.5164807|0.50733966|1.0021935|-0.21607797|1.1718073|-0.7867555|-0.09630848|-0.45720452|0.12556963|-0.63248116|0.40033758|0.45400217|-0.76647174|0.4746067|-0.5261735|-0.79324955|-0.15103433|-0.78855586|0.10441995|0.6944053|0.68899995|-0.7900103|-0.16322178
31;0.8341374|-0.51226956|0.5489901|0.15612978|-0.9685584|0.27385914|0.3070731|-0.9260142|0.29266393|0.47570616|0.794962|0.18053874|0.4527441|-0.07600191|0.14552717|-0.27696356|1.085396|0.6979658|-0.19120531|-0.62796265|-0.46231014|0.6323118|0.069909155|-0.34958082|0.46512815|0.15266362|-0.17051175|0.426003|0.60306036|0.6212264|-0.1868668|1.5858061|0.16391495|-0.19200912|0.33718646|0.4249766|-0.773811|-0.12299867|-0.056187693|-0.79252815|0.12197912|-0.22739902|-0.16090393|0.028954268|-0.6705077|0.74966115|0.13436528|0.3061313|-1.1713588|-0.44411016
32;-0.107266456|-0.62506187|1.0218151|0.30349356|-1.1197546|-0.20117481|-0.04081066|-0.24418029|-0.1262454|0.2770744|0.17924684|-0.062459543|0.42367715|0.1197487|-0.099060476|-0.2939586|0.16078797|1.069661|0.12408149|0.065321065|-0.32734093|0.051101357|0.22070697|-0.22576712|0.87695426|-0.21784656|-0.19562697|1.0188268|0.14794733|0.8995578|-0.20913666|1.0990022|-0.30738953|-0.35226965|0.16780151|0.3740032|-0.635852|-0.10022904|-0.29871714|-0.5523025|0.4695041|-0.7916765|-1.005941|0.41390526|-0.8388541|0.22937098|0.43890506|0.3253271|-0.95461893|-0.42448923
33;0.42617804|-0.1762003|0.6098808|0.47239196|-0.5149721|-0.085225|0.11105867|-0.59470713|0.252575|0.07234627|0.64940166|0.26741064|0.26959097|0.51101494|0.13979365|-0.2568206|0.5163938|0.526193|-0.26230198|-0.59695506|-0.41797316|0.67847216|0.47174603|-0.3028113|0.6325959|0.26853046|-0.71184033|0.6387923|0.29854217|0.37530458|-0.2256992|1.0246902|-0.301814|-0.3021231|0.36410707|-0.24595016|-0.7739218|-0.27653962|0.11179916|-0.75610805|0.5841332|-0.21867591|-0.14722803|0.3871078|-0.6998633|0.8440261|0.6182924|0.3653781|-0.8972212|-0.5821243
34;0.37797248|-0.50080615|0.7424626|0.06926584|-0.6284888|-0.27867913|0.17548929|-0.5345296|-0.087170705|0.21401921|0.5261333|-0.06532036|0.21629909|0.028270394|0.6093389|-0.4884179|0.37297234|0.861457|-0.009891361|-0.101342015|-0.5297974|0.11582026|0.8105613|-0.34898534|0.55205226|0.37552285|-0.12089816|0.6627356|0.17246541|0.18837889|-0.39625588|0.9168464|-0.1209151|-0.12628564|0.38293684|0.43261436|-0.38311508|0.24163257|0.11536469|-0.38831234|0.3144542|-0.39400178|-0.48787075|0.19484945|-0.4900693|0.6991987|0.17428887|0.33038384|-0.5563946|-0.30906802
35;-0.44962567|-0.25320047|0.04649645|0.096945524|-0.39837044|-0.7159482|0.54686284|-0.5628866|0.5282619|0.094820485|0.42527637|0.3857113|-0.031991124|0.19418395|0.373186|-0.656118|-0.024556905|0.6720969|0.33848223|-0.081180386|-0.373648|0.7958629|0.14139536|-0.54414636|0.43268162|0.0067132358|-0.7206278|0.64729416|0.33092597|0.374232|0.13462633|0.31203884|-1.0253808|-0.3071491|-0.101147085|0.0068306327|-1.0034161|0.07215206|0.31779993|-0.1561929|0.036373556|-0.0943363|-0.4070733|0.41745752|-0.84904444|0.32303837|0.3427539|0.60607946|-0.48380125|-0.32270777
36;0.22127922|-0.64282435|0.8274131|0.07533454|-0.6113845|-0.5668381|0.10660967|-0.78127575|-0.17859758|0.0040638447|0.6294271|0.017482668|0.16526933|0.19789153|0.47191915|-0.4236816|0.54897237|0.6151823|-0.17830944|-0.07945463|-0.6826404|0.25811225|0.560535|-0.25353283|0.55711734|0.010292847|-0.5257344|0.7419106|0.04760523|0.61026657|-0.22779314|0.714257|-0.20029724|-0.18868522|-0.2092256|0.18836863|-0.44075105|0.068961784|0.043568604|-0.49239993|0.60402983|-0.4111472|-0.44586647|0.5767512|-0.6549478|0.6796827|0.121987745|0.49567935|-0.6076919|-0.45969224
37;0.0059316754|-0.31694806|-0.09485066|0.39045358|-0.2986701|-0.11208598|-0.026138112|-1.0339366|0.03707984|0.07833919|1.2156048|-0.31356734|0.0349627|0.017279252|0.20427063|-0.7829198|0.41933918|0.71480334|-0.8034562|-0.5012691|-0.54876375|0.43748605|0.62264943|0.12949178|0.2099233|0.35762167|-0.22293717|0.62464035|-0.061731756|1.0336745|-0.3917653|1.0844383|-0.5415119|-0.6224249|0.01897037|0.3275935|-0.59921795|-0.30186117|-0.0054770596|-0.37449703|0.06014681|-0.30131957|-0.32184917|0.5891262|-1.0146317|0.3217927|-0.11724594|0.80225277|-0.71830404|-0.17670932
38;0.38062292|-0.29926896|1.179085|-0.32339996|-0.43568876|-0.3871703|0.278879|-0.7555926|-0.10164045|0.31451827|0.693141|-0.011643022|0.18894912|-0.31914657|-0.39967328|-0.3603472|0.44913813|0.561841|-0.39518198|0.08673874|-0.64706445|0.2539139|0.5068968|-0.5821158|0.623681|-0.19207357|-0.29488036|0.72072023|-0.09659541|0.85272515|-0.33071706|1.1636206|-0.6790208|-0.033859447|0.37146032|0.3480522|-0.2335214|0.023218825|-0.14586478|-0.88245726|0.45463985|-0.65865195|-0.37337935|0.6733947|-0.7381369|0.6604305|0.4040893|0.76202434|-0.49772817|-1.0680039
39;-0.049490094|0.04281494|0.037219524|0.3730076|-0.82934266|-0.44260806|0.45721108|-0.7194524|0.6485873|0.25072792|0.8449052|0.6043777|0.22137152|0.31188726|0.14051116|-0.643428|0.2734046|0.76916814|-0.18085465|0.10854242|-0.85259765|0.40516883|0.5215376|-0.2669096|0.69143194|-0.10790193|-0.7041845|1.0527312|0.48186934|0.2889511|-0.3091572|0.88910586|0.046233803|-0.5710346|-0.35541642|-0.10344967|-0.7398207|0.040586695|-0.077802226|-0.1821236|0.54703236|-0.3760549|-0.5789289|0.6180971|-0.5291705|0.63665986|0.0018160939|0.5996897|-0.6945228|-0.31551248
40;-0.32174003|-0.42976964|0.6902112|0.14797276|-0.5257023|-0.38592413|0.44776312|-0.3553582|-0.15866973|0.3103461|0.53078955|0.85200846|-0.21236536|0.064690575|0.16719246|-0.54921377|-0.032811344|0.5887422|-0.56486195|0.34638256|-0.20508328|0.4156788|0.018084973|-0.39425042|0.4497935|-0.00611834|-0.47220123|0.8204855|0.2851638|0.7293422|-0.043838263|0.83036757|-0.5929388|-0.6275233|0.18550591|0.2671455|-1.0064226|0.07862381|0.5360703|-0.81201637|0.39601243|-0.52552646|-0.9941685|0.46459466|-0.6645188|0.4087245|0.13963503|0.45230016|-0.6074317|-0.44013047
41;0.42908275|-0.53834516|0.1979833|-0.36941022|-1.1382732|0.06850667|-0.05087845|-0.726855|-0.14140387|-0.16616672|0.13762861|0.34430045|-0.09260163|0.024285764|0.8193209|-0.6293006|0.46074462|0.5244616|-0.87990594|0.57446253|-0.86169463|-0.047186404|0.23386002|-0.058822006|0.2481581|0.47061226|-0.968595|-0.20724124|0.58409584|0.007871449|-0.27670628|0.6111973|0.2425558|-0.24689798|0.0027136207|-0.075936735|-0.42126814|0.24510255|0.030549672|-0.12677598|0.33932504|-0.86099577|-0.88642836|0.27319503|-0.61855775|0.6217614|0.44652075|0.98209715|-0.57574403|-0.75497675
42;0.25511158|-0.7443545|0.5840282|0.34959865|-0.73524165|-0.38528317|0.17807767|-0.4773323|0.3520831|0.3792694|0.77021545|-0.0018238574|-0.007754177|0.24341232|-0.05267051|-0.6295635|0.5099754|0.6514198|-0.15761276|-0.37864682|-0.94534814|0.60467386|0.36043537|-0.5513067|0.8209798|-0.078247115|-0.7910146|0.6633771|0.3308618|0.40557787|0.17130062|0.8848905|-0.067833856|-0.35566875|-0.13077852|0.15006676|-0.7973361|0.33065775|0.19181982|-0.42759582|0.4526033|-0.36504894|-0.47094253|0.30511677|-0.49912524|0.60406727|0.10299915|0.5459646|-0.7979043|-0.27460974
