item_id;vectors
10;-1.1958858|-0.10682118|-0.44187984|0.35248068|-0.040040582|-0.9441086|0.035695463|0.18133722|0.005933434|-0.5085401|0.48364347|-0.2806506|0.14843419|0.16006117|-0.6958941|-0.17586482|0.33079538|0.096543536|-0.68655646|-0.103559464|0.0044376254|0.10197812|-0.3895906|-0.5777696|0.28029707|0.47505814|0.05175966|-0.039414242|-0.90569115|-0.24293435|0.780166|-0.013617605|-0.44550452|0.900103|-0.50681967|-0.68233144|-0.47678554|0.22078955|0.08063563|0.88175195|-0.01866752|0.45486522|-0.09621777|-0.24820639|0.052853942|0.56437826|0.24663499|-0.45554838|0.50791407|0.43091774|0.5361994|-0.43132305|-0.7907746|0.3116436|-0.49756682|0.14657933|0.5983834|0.22871563|-0.20537785|0.51301587|0.008284375|0.12247635|0.9050584|-0.41000974|-0.13101532|0.4047547|0.49925914|0.5556751|-0.25045142|-0.28248248|-0.5435248|0.7750131|0.32334062|0.36471844|0.63123405|-0.74784493|-0.16350155|1.044714|0.40896785|0.9072278|-0.122398525|0.6761602|0.269594|-0.28131467|0.06413528|-0.0787808|-0.04059948|0.17917167|0.9376615|-0.5340286|-0.17598113|-0.18296058|-0.49355283|-0.045870572|-0.5981184|0.5374043|0.3951937|-0.26608142|0.05419597|-0.06802426
11;-0.5510837|0.9045979|0.3745365|0.66690314|-0.4790847|-0.70478934|-0.3046364|0.2892785|-0.4929836|-0.08803074|0.13861409|0.4299569|-0.7492123|0.7849314|-0.41446087|-0.33087894|-0.017000835|0.3210948|-0.9101343|0.40051347|-0.49106625|0.3300689|-0.2912763|-0.085481115|0.20226288|-0.17981248|-0.94657934|-0.86502194|-0.6430006|-0.97630525|0.34038392|0.06774664|0.70148027|1.1407714|0.16575655|-0.3108573|-0.23964229|-0.20275329|-0.10269736|0.027725399|-0.1800875|-0.66579205|-0.7644407|0.052602157|0.26069236|0.5601283|0.5623281|-0.10353624|1.059322|0.71035516|0.37821463|-0.32920855|-0.07542959|0.81274104|-0.88652605|-0.67964107|0.39094287|0.53653747|-0.38579255|0.030152902|-0.11833314|0.17539006|0.10292648|-0.65616196|-0.4955256|-0.27041486|-0.19678223|-0.08774003|0.2721851|-0.5627111|0.1832107|0.8239759|0.4842623|0.6675739|0.2920974|0.111352265|-0.010449916|0.8013259|0.9184758|0.25707817|0.83190906|-0.29713172|-1.1468117|0.45981118|-0.9934988|0.5494635|-0.25358966|0.45947996|0.5028353|-0.2704962|-0.11230001|0.25698128|-0.95453554|-0.43731192|0.22761822|0.085654035|-0.26934266|-0.21434507|0.025280118|-0.45620334
12;-0.69669104|-0.01198405|-0.6938986|0.0031294525|-0.606669|-0.9812634|-0.56396186|-0.21811956|0.16760296|0.55925936|0.9188373|0.29041287|0.041161418|0.06440607|-0.18457274|-0.43973035|0.10470636|-0.055744544|-0.958864|0.1804136|-0.25626975|0.7168887|-0.44561958|-0.0032967553|0.6392358|0.47310436|-0.24913979|-0.34674394|-0.8619789|-0.08357972|0.3684682|0.48968405|-0.031947732|0.120306134|-0.06433351|-0.046621233|0.14932969|-0.19945878|0.22925943|0.08264604|0.2620238|0.6526667|-0.19772759|-0.60025746|0.1286892|-0.2446135|0.1200531|-0.3100818|1.0855308|0.054147065|0.26972637|0.2515529|-0.6007055|-0.11364187|-0.17529316|-0.46449724|-0.1711496|-0.24628696|-0.11804287|0.008601502|-0.28543907|0.22689384|-0.10561553|-0.13527301|0.09818417|0.06014821|-0.29256007|-0.2749868|-0.19023749|-0.4415629|-0.75197136|0.2795156|0.3941363|0.03683713|0.5885687|-0.50602376|0.7858125|1.1711084|0.3668837|0.6922447|0.493839|0.9513987|-0.39720982|0.32465756|-0.14845134|0.24211633|0.085827634|0.37556866|0.67525434|-0.32645646|0.2462737|0.16063806|-0.68554294|0.49801433|-0.41763908|0.57124126|-0.25001022|-0.7666391|-0.69296086|-0.51590943
13;-0.7211227|0.5545237|0.014014576|0.54214114|-0.3862462|-0.44284797|-0.33421603|0.3139942|-0.17744872|0.20944321|0.026570886|-0.10006863|-0.4982258|-0.3439514|-0.5011053|-0.13716593|-0.5013159|0.8828123|-0.22790498|0.21177498|-0.65867805|0.58716834|-0.19588201|-0.4344327|0.101071194|-0.063717306|-0.7748245|0.18762775|-0.34181222|-0.20803669|0.5559405|0.11885777|0.032487832|0.4623945|0.069457486|0.18774143|-0.07983282|0.2325713|0.4353779|0.3292933|-0.51617265|0.20381589|-1.0153427|-0.037821203|0.16799104|0.42350957|0.8619039|0.25337082|0.7884802|0.20674238|0.36943716|-0.909052|-0.38638783|-0.08027123|-0.48947293|-0.7982563|-0.71716213|-0.16838458|-0.89919573|0.23567478|-0.42520863|0.13837266|0.3414404|-0.7218086|-0.8185719|0.9682057|0.2176836|0.31674784|-0.03672946|-0.34875622|0.3260404|1.1102263|0.36841032|0.30427584|0.31038254|-0.677001|-0.5168863|0.7595231|1.0162399|0.37388903|0.42675436|1.0255182|-1.4111009|0.07462175|0.17834148|0.030236155|-0.62213415|0.6912109|0.16514993|-0.8036854|0.014520451|0.01299265|-0.21735859|0.3081191|0.28395975|0.24532668|-0.062736064|0.1955704|-1.0674926|0.100694686
14;-0.3804179|0.01513657|-0.5498505|-0.039038584|-0.23052573|-0.6187251|-0.15541315|0.1989547|0.57073915|0.13807721|0.0057941675|0.19453362|-0.25156173|-0.88073254|-0.48643136|0.51694244|-0.333967|0.1689483|-1.4392565|0.8923392|-0.6184182|0.81621516|-0.68229485|-0.19202138|0.4214017|0.648433|-0.6908499|-0.21248172|-0.8601425|-0.29862612|0.83783156|0.34623167|-0.31841758|1.1527965|0.28104937|-0.5460559|-0.10464238|0.2518903|0.4652112|0.0389328|-0.5217667|-0.3286013|0.24127963|-0.015544578|-0.20071119|0.2665969|-0.11854914|-0.040191684|0.962512|0.05220756|0.4973235|-0.024832942|-0.34146333|0.2638045|-0.09849003|0.08283333|0.1726068|0.22500262|-0.4088673|-0.57308114|0.29628235|0.07446922|0.6400037|0.17436276|0.01900351|-0.10869324|0.14015888|-0.18652529|-0.61017287|-0.3851901|-0.74864626|0.393008|0.39271155|0.4826727|1.07701|-1.0668893|-0.48537338|0.8495328|0.31606394|0.37155843|0.3529999|0.29610556|-0.29179388|0.67801917|-1.190182|1.5230035|-0.53485364|0.7834816|0.37281245|-0.12814449|-0.027221888|-0.42040014|-0.62150854|0.47330087|-0.5271513|0.49098974|-0.11157293|0.040941164|0.04572645|-0.38892907
15;0.021200955|0.2911913|0.14660494|0.4576568|-0.09575185|-0.7252396|-0.5230442|0.12575975|-0.43660653|-0.10488136|0.21332131|0.39477956|-0.56827587|0.0070112646|0.15493199|-0.35829777|0.15450466|0.16948026|-0.071738124|0.4541794|-0.17963453|0.09854278|-0.15186693|-0.5372689|0.07237621|0.2515369|-0.41400242|-0.17959708|-0.23635416|-0.6106129|0.35660115|0.44920763|0.6658523|0.8813811|0.6193133|-0.24985713|-0.04905612|-0.2182698|-0.08200511|0.68533176|0.19069313|-0.10723393|-0.5892238|-0.29336905|0.08841586|0.33471137|0.6446984|0.37039286|0.6282976|0.07049921|0.46925208|-0.41012162|-0.4257218|-0.030850634|0.13871977|-0.17925277|-0.5874858|0.93880725|-0.06517351|-0.14548388|-0.04628636|0.66392124|0.6884428|0.2025442|-0.30548072|0.3300643|0.57234716|-0.22658587|-0.07116106|-0.47038877|-0.5330122|0.53158593|-0.14809713|0.46757412|0.53198785|-0.4315539|0.25167584|1.0642872|0.521875|0.5791341|0.6042403|0.49657246|-0.1237694|0.55364645|-0.6022326|0.72742176|0.08627926|0.4110637|0.3110885|-0.45569485|0.51675314|-0.11342324|-0.43103468|0.12883575|-0.4798632|0.10890725|-0.68194103|0.027620658|0.05747977|0.4747003
16;-0.8276368|0.027119726|-0.28370187|-0.15003668|0.076584816|-0.5282246|-0.8309058|0.38374975|-0.3052956|-0.07024294|-0.24174836|0.47774237|-0.540341|0.05231005|-0.40809986|-0.16307189|-0.4458833|-0.017913826|-0.5098048|0.21969368|-0.15514703|0.4790334|-0.24398535|0.15223528|0.212786|0.3548205|-0.50553006|-0.05747077|-0.76934993|-0.65654874|0.116970465|-0.11785209|0.4407464|0.923606|0.13600619|-0.17819725|-0.718977|0.017896008|0.2567276|0.47255445|-0.023420349|0.012502149|-0.51558596|-0.16569836|0.3104491|0.55712104|0.10184921|0.14854243|0.92935115|0.13135035|0.27028632|-0.068805076|-0.34323522|0.18380061|-0.03217277|0.40123287|-0.11978464|0.021920562|-0.42407292|0.21961528|-0.07438719|-0.27593362|0.1452883|-0.16754475|-0.48945123|0.31767687|0.41666973|-0.14072381|-0.10629244|-0.15283662|-0.6748361|0.2544875|0.51439023|0.5892432|0.45325536|-1.1704117|-0.3598032|0.49273357|0.695976|0.7987571|0.0031788647|0.24320486|-0.17585309|0.24589719|-0.34000885|0.53689396|-0.56567955|0.8207666|0.29989153|0.24926627|0.11546801|-0.3133964|-0.18542357|-0.15814832|-0.6863253|0.22889036|-0.3420912|0.056676984|-0.288195|-0.59124523
17;-0.1044884|0.3902291|-0.18818197|0.2727251|-0.396446|-0.6334273|-0.15349475|0.07153269|-0.56790197|0.031483807|0.5330231|0.039869152|-0.39022833|0.5487511|-0.12304583|-0.5470723|0.22400485|-0.06711688|-0.26659414|0.86137164|-0.5422944|0.58337116|-0.2552492|0.11202973|0.52080554|0.070713855|0.40975443|0.21509546|-0.5705293|-0.6454605|0.15573244|0.25067276|-0.093428776|0.23923762|0.026805058|-0.006593257|-0.6848821|-0.37329283|0.06846087|0.9039231|-0.40087134|0.29125512|-0.14159203|-0.6800958|0.113073304|0.8614213|-0.3380514|5.2113086e-05|0.6476875|0.33268246|0.9728099|-0.3845665|-0.4160127|0.21288244|-0.28859174|0.36111128|-0.2617397|0.6865262|-0.10116957|0.35089606|-0.020241752|0.005962968|0.5266411|0.10943745|-0.40020385|0.31784114|0.01429835|-0.23508188|-0.02265272|-0.047442764|-0.60928863|0.6230643|0.38890332|0.63321686|0.40977684|-0.53072256|0.22493559|0.8869699|0.44070446|0.36082655|0.45403823|-0.007853657|-0.18951674|0.052010737|-0.4448543|0.1913798|-0.540558|-0.10927963|0.46071798|-0.28859767|0.21810299|0.83505905|-0.529896|0.054542214|-0.38780692|0.40419924|-0.22034848|-0.15499687|0.04330337|-0.13383219
18;-0.14044002|0.35540316|-0.2455204|0.5812834|-0.636968|-0.7260308|-0.8377911|0.46821982|-0.50206393|0.17502281|0.106716156|-0.016351119|-0.045003176|1.2615057|-0.46240327|-0.6641221|1.0081983|-0.47502288|-1.0325704|0.35759816|-0.030978918|0.367867|-0.47229683|0.39936697|0.3324907|-0.3373499|-0.20569059|0.20840833|-0.5130212|-0.53608453|0.62847555|0.010063946|-0.036231264|0.10375604|-0.5359969|-0.31935945|-0.094637856|0.12325764|0.18049955|0.58372456|0.03663577|0.34475553|-0.6912271|0.019017369|0.9930963|0.72652626|0.30987412|-0.3951632|0.5559839|0.32550764|0.69531065|0.28634468|-0.16963272|0.10997683|-0.40708756|0.16697732|0.055654764|0.4422524|-0.41919738|0.5768276|-0.31520385|0.4177635|0.3158414|-0.39625165|-0.17929123|0.10652101|0.4499287|0.31759417|0.29576358|0.024741232|-0.29673|0.59408766|0.3438687|0.6393245|-0.12966588|-0.06693891|-0.041612923|0.59900945|0.4414928|0.48975247|0.20759428|-0.047742724|-0.72406006|0.027557552|-0.54553884|0.1429114|-0.1893369|0.43405464|0.14376014|-1.5326581|0.36598906|0.35483524|0.2885248|0.8975748|-0.7364628|0.3339473|0.03136231|0.00034759194|0.022948444|-0.35967755
19;0.4445958|0.25177994|-0.0011533722|0.54457486|-0.85077906|-0.5386089|-0.81079984|-0.19722795|-1.0086689|0.47835243|0.52153975|-0.062669985|-0.8712539|0.7548927|-0.29225817|-0.016095608|-0.07196469|-0.44048393|-0.8426029|0.053892434|-0.023349494|0.7232808|-0.9821024|-0.19462794|0.46637154|0.49045724|0.0863857|-0.08285336|-0.88552076|-0.47786734|-0.18958223|0.915605|0.44143054|0.2955987|0.22174332|-0.16935156|0.40562677|-0.07170266|0.122007914|0.46629807|-1.0850015|-0.1564747|0.046357453|-0.4851148|0.35892886|0.6229953|0.47732672|-0.025592078|0.7022547|0.4957046|-0.02952519|0.30354777|-0.4084465|-0.42590702|-0.47004944|0.52690035|-0.43829083|0.35971123|-0.41761464|0.63729775|0.14981781|0.24493402|0.8481816|-0.25867206|-0.45316556|0.11833958|0.5279898|-0.7763498|0.28716877|-0.27786142|0.016299874|0.24623965|0.80981255|-0.66102004|-0.18946013|-0.36867768|0.18876022|0.7088543|0.9842582|0.36653352|0.24898118|0.06261703|-0.049010187|0.64313865|-0.39361653|-0.04465145|-0.47669917|-0.08129272|-0.04474628|-0.29047862|0.2980964|0.3123381|-0.18846194|0.29664326|-0.37193042|-0.1727879|-0.017819434|-0.09101632|-0.45376372|-0.031006828
20;-0.2336703|0.7075703|0.42718422|0.43141502|-0.7583454|-0.4063709|-0.5552217|-0.27752727|0.12928882|-0.096688464|0.05112475|0.86871094|-0.50317144|0.7469661|-0.06096214|-0.22641465|-0.065927245|0.02163053|-0.560891|0.25629443|-0.7025347|0.66995084|0.029862016|-0.05278573|0.092045546|-0.34274447|-0.63496816|-0.7362359|-0.12122384|-1.1926799|0.5145839|0.39952686|0.5961617|0.99263096|0.5095148|-0.4482631|-0.2204311|0.28990608|0.28029212|0.73345405|-0.32626584|0.34420574|-0.401954|-0.30925536|0.3838545|0.11738706|-0.006867856|0.2872118|1.2665098|0.5069505|0.3203001|0.10339479|0.2684698|0.2582903|-0.2683783|0.348119|-0.2732139|0.48398137|-0.2622469|0.2168069|-0.211807|0.13693608|0.5334707|-0.22890963|-0.24225639|0.13801417|-0.1697399|-0.20072842|-0.41739005|-0.12589161|-0.79687405|0.97496575|0.21965|0.7142629|-0.07470539|-0.7940028|-0.21875222|1.0873926|0.7568376|0.54150814|0.1405847|0.12608829|-0.37238377|0.009959623|-0.00043070316|0.22400436|-0.13357514|-0.13056621|0.27090898|-0.08117148|0.07516621|0.08449367|-0.43490738|0.6482984|-0.71942925|0.10326639|-0.1169643|-0.17621197|-0.30844417|-0.29262576
